created_timestamp,comments,impressions,likes
2014-01-01 00:00:00+00:00,100,100,100
2014-01-02 00:00:00+00:00,0,0,100
2014-01-03 00:00:00+00:00,100,100,100
2014-01-04 00:00:00+00:00,200,200,200
2014-01-05 00:00:00+00:00,300,300,300
2014-01-06 00:00:00+00:00,400,200,200
2014-01-07 00:00:00+00:00,500,100,100
2014-01-08 00:00:00+00:00,400,0,0
2014-01-09 00:00:00+00:00,300,100,100
2014-01-10 00:00:00+00:00,400,100,0
2014-01-11 00:00:00+00:00,300,0,100
2014-01-12 00:00:00+00:00,400,100,200
2014-01-13 00:00:00+00:00,500,200,300
2014-01-14 00:00:00+00:00,400,300,200
2014-01-15 00:00:00+00:00,300,200,300
2014-01-16 00:00:00+00:00,400,100,400
2014-01-17 00:00:00+00:00,300,0,300
2014-01-18 00:00:00+00:00,400,100,400
2014-01-19 00:00:00+00:00,300,0,500
2014-01-20 00:00:00+00:00,400,100,400
2014-01-21 00:00:00+00:00,500,100,500
2014-01-22 00:00:00+00:00,400,200,600
2014-01-23 00:00:00+00:00,500,300,700
2014-01-24 00:00:00+00:00,600,400,800
2014-01-25 00:00:00+00:00,700,300,900
2014-01-26 00:00:00+00:00,600,400,1000
2014-01-27 00:00:00+00:00,500,300,900
2014-01-28 00:00:00+00:00,600,200,1000
2014-01-29 00:00:00+00:00,700,100,1100
2014-01-30 00:00:00+00:00,600,0,1000
2014-01-31 00:00:00+00:00,500,100,900
2014-02-01 00:00:00+00:00,600,200,1000
2014-02-02 00:00:00+00:00,700,100,1100
2014-02-03 00:00:00+00:00,600,200,1000
2014-02-04 00:00:00+00:00,500,100,1100
2014-02-05 00:00:00+00:00,400,0,1000
2014-02-06 00:00:00+00:00,500,100,1100
2014-02-07 00:00:00+00:00,400,200,1000
2014-02-08 00:00:00+00:00,500,100,1100
2014-02-09 00:00:00+00:00,400,200,1200
2014-02-10 00:00:00+00:00,300,100,1300
2014-02-11 00:00:00+00:00,400,200,1200
2014-02-12 00:00:00+00:00,300,100,1100
2014-02-13 00:00:00+00:00,400,200,1200
2014-02-14 00:00:00+00:00,500,100,1100
2014-02-15 00:00:00+00:00,600,200,1000
2014-02-16 00:00:00+00:00,700,100,1100
2014-02-17 00:00:00+00:00,800,0,1000
2014-02-18 00:00:00+00:00,900,100,900
2014-02-19 00:00:00+00:00,800,200,800
2014-02-20 00:00:00+00:00,900,300,900
2014-02-21 00:00:00+00:00,800,400,800
2014-02-22 00:00:00+00:00,900,300,900
2014-02-23 00:00:00+00:00,1000,200,800
2014-02-24 00:00:00+00:00,1100,300,700
2014-02-25 00:00:00+00:00,1200,200,600
2014-02-26 00:00:00+00:00,1100,100,500
2014-02-27 00:00:00+00:00,1000,200,400
2014-02-28 00:00:00+00:00,900,300,500
2014-03-01 00:00:00+00:00,1000,200,600
2014-03-02 00:00:00+00:00,900,100,700
2014-03-03 00:00:00+00:00,1000,200,600
2014-03-04 00:00:00+00:00,900,300,500
2014-03-05 00:00:00+00:00,1000,200,400
2014-03-06 00:00:00+00:00,1100,100,300
2014-03-07 00:00:00+00:00,1000,0,400
2014-03-08 00:00:00+00:00,1100,100,500
2014-03-09 00:00:00+00:00,1200,100,400
2014-03-10 00:00:00+00:00,1300,100,300
2014-03-11 00:00:00+00:00,1400,200,200
2014-03-12 00:00:00+00:00,1300,300,100
2014-03-13 00:00:00+00:00,1200,200,200
2014-03-14 00:00:00+00:00,1100,100,100
2014-03-15 00:00:00+00:00,1000,0,200
2014-03-16 00:00:00+00:00,1100,100,300
2014-03-17 00:00:00+00:00,1200,0,200
2014-03-18 00:00:00+00:00,1300,100,100
2014-03-19 00:00:00+00:00,1400,100,200
2014-03-20 00:00:00+00:00,1300,200,100
2014-03-21 00:00:00+00:00,1200,100,200
2014-03-22 00:00:00+00:00,1100,200,300
2014-03-23 00:00:00+00:00,1200,300,400
2014-03-24 00:00:00+00:00,1100,200,500
2014-03-25 00:00:00+00:00,1000,300,600
2014-03-26 00:00:00+00:00,900,400,500
2014-03-27 00:00:00+00:00,800,500,400
2014-03-28 00:00:00+00:00,700,600,300
2014-03-29 00:00:00+00:00,800,500,400
2014-03-30 00:00:00+00:00,700,400,300
2014-03-31 00:00:00+00:00,600,300,400
2014-04-01 00:00:00+00:00,500,400,500
2014-04-02 00:00:00+00:00,600,500,600
2014-04-03 00:00:00+00:00,700,400,500
2014-04-04 00:00:00+00:00,800,300,400
2014-04-05 00:00:00+00:00,700,400,300
2014-04-06 00:00:00+00:00,800,500,200
2014-04-07 00:00:00+00:00,700,400,100
2014-04-08 00:00:00+00:00,800,300,0
2014-04-09 00:00:00+00:00,900,200,100
2014-04-10 00:00:00+00:00,1000,100,0
2014-04-11 00:00:00+00:00,900,200,100
2014-04-12 00:00:00+00:00,1000,300,100
2014-04-13 00:00:00+00:00,1100,400,200
2014-04-14 00:00:00+00:00,1000,300,100
2014-04-15 00:00:00+00:00,900,400,200
2014-04-16 00:00:00+00:00,1000,300,300
2014-04-17 00:00:00+00:00,1100,200,400
2014-04-18 00:00:00+00:00,1200,300,500
2014-04-19 00:00:00+00:00,1100,400,600
2014-04-20 00:00:00+00:00,1000,500,700
2014-04-21 00:00:00+00:00,900,600,800
2014-04-22 00:00:00+00:00,1000,700,900
2014-04-23 00:00:00+00:00,900,600,1000
2014-04-24 00:00:00+00:00,1000,700,900
2014-04-25 00:00:00+00:00,900,800,1000
2014-04-26 00:00:00+00:00,800,700,900
2014-04-27 00:00:00+00:00,900,800,800
2014-04-28 00:00:00+00:00,800,900,900
2014-04-29 00:00:00+00:00,700,1000,800
2014-04-30 00:00:00+00:00,600,1100,700
2014-05-01 00:00:00+00:00,700,1200,600
2014-05-02 00:00:00+00:00,800,1100,500
2014-05-03 00:00:00+00:00,900,1000,600
2014-05-04 00:00:00+00:00,1000,900,500
2014-05-05 00:00:00+00:00,900,800,400
2014-05-06 00:00:00+00:00,1000,900,500
2014-05-07 00:00:00+00:00,1100,1000,600
2014-05-08 00:00:00+00:00,1200,900,500
2014-05-09 00:00:00+00:00,1300,1000,400
2014-05-10 00:00:00+00:00,1200,1100,500
2014-05-11 00:00:00+00:00,1300,1200,400
2014-05-12 00:00:00+00:00,1400,1100,300
2014-05-13 00:00:00+00:00,1500,1200,400
2014-05-14 00:00:00+00:00,1600,1100,500
2014-05-15 00:00:00+00:00,1700,1000,600
2014-05-16 00:00:00+00:00,1800,1100,700
2014-05-17 00:00:00+00:00,1900,1200,800
2014-05-18 00:00:00+00:00,1800,1300,900
2014-05-19 00:00:00+00:00,1900,1400,1000
2014-05-20 00:00:00+00:00,2000,1300,1100
2014-05-21 00:00:00+00:00,2100,1400,1200
2014-05-22 00:00:00+00:00,2000,1300,1100
2014-05-23 00:00:00+00:00,1900,1200,1000
2014-05-24 00:00:00+00:00,1800,1300,900
2014-05-25 00:00:00+00:00,1900,1400,800
2014-05-26 00:00:00+00:00,2000,1300,900
2014-05-27 00:00:00+00:00,1900,1200,800
2014-05-28 00:00:00+00:00,1800,1100,900
2014-05-29 00:00:00+00:00,1700,1000,800
2014-05-30 00:00:00+00:00,1800,900,900
2014-05-31 00:00:00+00:00,1900,1000,1000
2014-06-01 00:00:00+00:00,1800,1100,900
2014-06-02 00:00:00+00:00,1900,1200,800
2014-06-03 00:00:00+00:00,2000,1100,900
2014-06-04 00:00:00+00:00,2100,1000,1000
2014-06-05 00:00:00+00:00,2200,900,900
2014-06-06 00:00:00+00:00,2100,1000,1000
2014-06-07 00:00:00+00:00,2200,900,1100
2014-06-08 00:00:00+00:00,2300,800,1200
2014-06-09 00:00:00+00:00,2200,700,1100
2014-06-10 00:00:00+00:00,2100,600,1000
2014-06-11 00:00:00+00:00,2000,700,900
2014-06-12 00:00:00+00:00,2100,600,1000
2014-06-13 00:00:00+00:00,2200,700,900
2014-06-14 00:00:00+00:00,2300,600,1000
2014-06-15 00:00:00+00:00,2200,700,1100
2014-06-16 00:00:00+00:00,2100,600,1000
2014-06-17 00:00:00+00:00,2000,500,1100
2014-06-18 00:00:00+00:00,2100,600,1000
2014-06-19 00:00:00+00:00,2000,500,1100
2014-06-20 00:00:00+00:00,2100,600,1000
2014-06-21 00:00:00+00:00,2000,500,900
2014-06-22 00:00:00+00:00,2100,600,1000
2014-06-23 00:00:00+00:00,2000,700,1100
2014-06-24 00:00:00+00:00,2100,800,1200
2014-06-25 00:00:00+00:00,2000,900,1300
2014-06-26 00:00:00+00:00,1900,1000,1200
2014-06-27 00:00:00+00:00,2000,1100,1100
2014-06-28 00:00:00+00:00,2100,1000,1000
2014-06-29 00:00:00+00:00,2200,1100,900
2014-06-30 00:00:00+00:00,2300,1000,800
2014-07-01 00:00:00+00:00,2200,900,700
2014-07-02 00:00:00+00:00,2300,1000,800
2014-07-03 00:00:00+00:00,2400,900,900
2014-07-04 00:00:00+00:00,2500,800,1000
2014-07-05 00:00:00+00:00,2400,700,1100
2014-07-06 00:00:00+00:00,2500,600,1000
2014-07-07 00:00:00+00:00,2400,700,900
2014-07-08 00:00:00+00:00,2300,800,800
2014-07-09 00:00:00+00:00,2400,700,700
2014-07-10 00:00:00+00:00,2300,800,800
2014-07-11 00:00:00+00:00,2200,700,700
2014-07-12 00:00:00+00:00,2100,600,600
2014-07-13 00:00:00+00:00,2000,500,700
2014-07-14 00:00:00+00:00,1900,600,800
2014-07-15 00:00:00+00:00,2000,700,900
2014-07-16 00:00:00+00:00,1900,600,1000
2014-07-17 00:00:00+00:00,2000,500,1100
2014-07-18 00:00:00+00:00,1900,600,1000
2014-07-19 00:00:00+00:00,1800,700,1100
2014-07-20 00:00:00+00:00,1900,800,1200
2014-07-21 00:00:00+00:00,1800,700,1300
2014-07-22 00:00:00+00:00,1700,600,1400
2014-07-23 00:00:00+00:00,1800,500,1300
2014-07-24 00:00:00+00:00,1700,400,1200
2014-07-25 00:00:00+00:00,1800,300,1100
2014-07-26 00:00:00+00:00,1700,200,1200
2014-07-27 00:00:00+00:00,1800,300,1100
2014-07-28 00:00:00+00:00,1900,200,1200
2014-07-29 00:00:00+00:00,1800,300,1100
2014-07-30 00:00:00+00:00,1700,200,1200
2014-07-31 00:00:00+00:00,1600,300,1100
