created_timestamp,comments,impressions,likes,clicks,shares
2014-01-01 00:00:00+00:00,10,100,100,100,100
2014-01-02 00:00:00+00:00,0,100,100,200,0
2014-01-03 00:00:00+00:00,10,200,0,300,100
2014-01-04 00:00:00+00:00,10,300,100,200,0
2014-01-05 00:00:00+00:00,0,200,200,100,100
2014-01-06 00:00:00+00:00,10,300,100,0,100
2014-01-07 00:00:00+00:00,20,400,200,100,200
2014-01-08 00:00:00+00:00,30,300,300,200,300
2014-01-09 00:00:00+00:00,20,200,200,100,400
2014-01-10 00:00:00+00:00,10,300,300,200,300
2014-01-11 00:00:00+00:00,20,200,400,300,400
2014-01-12 00:00:00+00:00,10,100,500,400,500
2014-01-13 00:00:00+00:00,20,200,400,300,600
2014-01-14 00:00:00+00:00,10,300,300,200,500
2014-01-15 00:00:00+00:00,20,400,400,100,600
2014-01-16 00:00:00+00:00,30,500,300,0,700
2014-01-17 00:00:00+00:00,20,400,200,100,800
2014-01-18 00:00:00+00:00,10,500,100,100,700
2014-01-19 00:00:00+00:00,20,600,0,0,600
2014-01-20 00:00:00+00:00,30,500,100,100,700
2014-01-21 00:00:00+00:00,40,400,0,0,600
2014-01-22 00:00:00+00:00,50,300,100,100,700
2014-01-23 00:00:00+00:00,60,400,100,100,600
2014-01-24 00:00:00+00:00,50,500,200,100,700
2014-01-25 00:00:00+00:00,40,600,300,100,600
2014-01-26 00:00:00+00:00,30,500,400,0,500
2014-01-27 00:00:00+00:00,20,400,500,100,400
2014-01-28 00:00:00+00:00,30,500,600,0,500
2014-01-29 00:00:00+00:00,20,400,700,100,600
2014-01-30 00:00:00+00:00,30,300,800,0,700
2014-01-31 00:00:00+00:00,40,400,900,100,800
2014-02-01 00:00:00+00:00,50,500,1000,200,700
2014-02-02 00:00:00+00:00,40,600,900,300,600
2014-02-03 00:00:00+00:00,30,500,1000,200,700
2014-02-04 00:00:00+00:00,40,400,1100,100,600
2014-02-05 00:00:00+00:00,30,300,1200,200,500
2014-02-06 00:00:00+00:00,20,200,1100,100,600
2014-02-07 00:00:00+00:00,10,300,1200,0,500
2014-02-08 00:00:00+00:00,20,200,1100,100,400
2014-02-09 00:00:00+00:00,30,300,1000,100,500
2014-02-10 00:00:00+00:00,20,400,1100,0,600
2014-02-11 00:00:00+00:00,10,500,1000,100,500
2014-02-12 00:00:00+00:00,0,600,1100,0,400
2014-02-13 00:00:00+00:00,10,700,1200,100,500
2014-02-14 00:00:00+00:00,10,800,1300,100,600
2014-02-15 00:00:00+00:00,0,700,1400,100,500
2014-02-16 00:00:00+00:00,10,600,1500,200,400
2014-02-17 00:00:00+00:00,0,500,1600,100,500
2014-02-18 00:00:00+00:00,10,600,1700,0,400
2014-02-19 00:00:00+00:00,0,700,1800,100,500
2014-02-20 00:00:00+00:00,10,600,1700,200,600
2014-02-21 00:00:00+00:00,0,500,1600,100,700
2014-02-22 00:00:00+00:00,10,400,1500,0,600
2014-02-23 00:00:00+00:00,10,300,1400,100,700
2014-02-24 00:00:00+00:00,10,400,1500,100,800
2014-02-25 00:00:00+00:00,10,500,1600,100,900
2014-02-26 00:00:00+00:00,0,400,1500,100,1000
2014-02-27 00:00:00+00:00,10,500,1400,0,1100
2014-02-28 00:00:00+00:00,10,600,1300,100,1000
2014-03-01 00:00:00+00:00,0,500,1400,100,900
2014-03-02 00:00:00+00:00,10,600,1300,200,800
2014-03-03 00:00:00+00:00,10,500,1400,300,900
2014-03-04 00:00:00+00:00,10,400,1500,400,800
2014-03-05 00:00:00+00:00,10,500,1400,300,900
2014-03-06 00:00:00+00:00,10,400,1500,200,800
2014-03-07 00:00:00+00:00,10,500,1600,300,700
2014-03-08 00:00:00+00:00,0,400,1700,400,800
2014-03-09 00:00:00+00:00,10,300,1600,300,700
2014-03-10 00:00:00+00:00,10,200,1500,200,800
2014-03-11 00:00:00+00:00,10,300,1400,100,700
2014-03-12 00:00:00+00:00,10,400,1500,200,600
2014-03-13 00:00:00+00:00,10,300,1400,100,500
2014-03-14 00:00:00+00:00,20,400,1300,0,600
2014-03-15 00:00:00+00:00,30,300,1400,100,700
2014-03-16 00:00:00+00:00,20,200,1300,100,800
2014-03-17 00:00:00+00:00,10,300,1400,100,900
2014-03-18 00:00:00+00:00,20,400,1300,0,800
2014-03-19 00:00:00+00:00,30,300,1200,100,700
2014-03-20 00:00:00+00:00,40,400,1100,200,800
2014-03-21 00:00:00+00:00,50,300,1200,300,900
2014-03-22 00:00:00+00:00,60,400,1300,400,1000
2014-03-23 00:00:00+00:00,70,300,1200,500,1100
2014-03-24 00:00:00+00:00,60,200,1300,400,1200
2014-03-25 00:00:00+00:00,70,300,1400,500,1100
