,_fivetran_id,id,like_count,comment_count,video_photo_impressions,video_photo_reach,video_photo_saved,video_views,carousel_album_engagement,carousel_album_impressions,carousel_album_reach,carousel_album_saved,carousel_album_video_views,story_impressions,story_reach,reel_reach,reel_saved,video_photo_engagement,story_exits,story_replies,story_taps_back,story_taps_forward,reel_comments,reel_likes,reel_plays,reel_shares,reel_total_interactions,_fivetran_synced
0,Me78T3sOfC/b6T/C+zlUp8yVJ3o=,17843157746554590,2,0,30.0,29.0,0,,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:09.798000+00:00
1,Aqp2iSQBXsjg7vqSuXz1w26zdkk=,17902933006433009,3,0,3.0,3.0,0,,,,,,,,,,,3.0,,,,,,,,,,2022-08-08 10:43:13.501000+00:00
2,u4OS04ur0QZJSFtwNF0T/uojMYU=,17912431931029947,0,0,15.0,13.0,0,,,,,,,,,,,0.0,,,,,,,,,,2022-08-08 10:43:04.438000+00:00
3,md9OWECE0KxajHQW88jpzEUAWjQ=,17872246723667741,4,0,14.0,14.0,0,12.0,,,,,,,,,,4.0,,,,,,,,,,2022-08-08 10:43:13.516000+00:00
4,NnZqqAZj7w29gvTWmf2N0jvpozU=,17914770457715057,1,0,13.0,12.0,0,4.0,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:09.844000+00:00
5,eb5DXlc2++jpFfVi+ce2YQ9cpx8=,17853851230604744,0,0,0.0,0.0,0,,,,,,,,,,,0.0,,,,,,,,,,2022-08-08 10:43:18.290000+00:00
6,+rHBrjVdABxfHtAjN/VvvQ+HwlM=,17903929663862428,0,0,36.0,33.0,0,,,,,,,,,,,0.0,,,,,,,,,,2022-08-08 10:43:09.809000+00:00
7,LdMmWy4kVJKKjDeRJlkxDk7hNS4=,17976984847490315,2,0,22.0,22.0,0,,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:04.465000+00:00
8,3qi6hdo4kBjF1gMvLa+nfEdoT8w=,17859349882879736,3,0,0.0,0.0,0,,,,,,,,,,,3.0,,,,,,,,,,2022-08-08 10:43:13.496000+00:00
9,vQQL2UcInLJ6gI0BZvqeCjNI+gk=,17853080156034296,0,0,3.0,3.0,0,,,,,,,,,,,0.0,,,,,,,,,,2022-08-08 10:43:13.515000+00:00
10,adWtQwG3SpAAh6WMeIq1G2A3bfA=,17935014334422751,1,0,33.0,28.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:09.834000+00:00
11,WLWquT2ecfi1iByxxU8Mytp6YaE=,18225062548073972,1,0,30.0,30.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:04.429000+00:00
12,QTc/D3Pz9sprA+wT+p77vR6Ujr0=,18137040670037882,1,0,0.0,0.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:13.516000+00:00
13,FBso15PbYCifRC7KmZcyBVNOMC0=,17862505048987007,0,0,10.0,8.0,0,,,,,,,,,,,0.0,,,,,,,,,,2022-08-08 10:43:13.503000+00:00
14,73t77SSkUxJxdZT3BHtdr17OWeM=,18076976437081181,0,0,0.0,0.0,0,,,,,,,,,,,0.0,,,,,,,,,,2022-08-08 10:43:18.284000+00:00
15,Wd4qinNw7PQKR3wxroP/CurSyh8=,17852406821358714,4,0,26.0,25.0,0,,,,,,,,,,,4.0,,,,,,,,,,2022-08-08 10:43:09.810000+00:00
16,Nf6JM/4Qfn83pI5BOPyDbcVKFrA=,17946846722096343,1,0,,,0,0.0,1.0,32.0,27.0,0.0,0.0,,,,,,,,,,,,,,,2022-08-08 10:43:04.476000+00:00
17,9a+GFJ4rMtZ9oU+dzWQCvOeTLT0=,17876056117493105,2,0,0.0,0.0,0,,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:18.277000+00:00
18,spNbYyDKzW4QAHg/hIenC7i/OD0=,17917276783385646,0,0,1.0,1.0,0,8.0,,,,,,,,,,0.0,,,,,,,,,,2022-08-08 10:43:13.510000+00:00
19,FwrxX4WwgOe4XFz1nlQAXLxug0o=,17934342299103690,0,0,23.0,21.0,0,,,,,,,,,,,0.0,,,,,,,,,,2022-08-08 10:43:04.470000+00:00
20,lgMdsrmmgT69y3/LbUWGvCuIcHw=,17901318950583174,1,0,20.0,19.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:04.443000+00:00
21,RIQFVTsOWdcxF1eJGLYWOrECdac=,17960226157848618,1,0,50.0,47.0,0,17.0,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:04.448000+00:00
22,Q67oiLUmNKb7J0AXbBwVPnsEtRU=,18117423874049611,3,0,,,1,9.0,4.0,12.0,11.0,1.0,9.0,,,,,,,,,,,,,,,2022-08-08 10:43:18.292000+00:00
23,a/bEx6WtQNHG3Y1F62ikG1lUWY0=,18021708679258021,1,0,,,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2022-08-08 10:43:13.514000+00:00
24,mYqJcRYuD31l6t3MXEtkVFfEtXo=,18098097619123077,1,0,0.0,0.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:13.523000+00:00
25,vIRPUBG0BQDRu8Iib7k4iiwW1/4=,17906182030683081,2,0,37.0,33.0,0,,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:09.833000+00:00
