Date,Index
2022-05-31,58.4
2022-04-30,65.2
2022-03-31,59.4
2022-02-28,62.8
2022-01-31,67.2
2021-12-31,70.6
2021-11-30,67.4
2021-10-31,71.7
2021-09-30,72.8
2021-08-31,70.3
2021-07-31,81.2
2021-06-30,85.5
2021-05-31,82.9
2021-04-30,88.3
2021-03-31,84.9
2021-02-28,76.8
2021-01-31,79.0
2020-12-31,80.7
2020-11-30,76.9
2020-10-31,81.8
2020-09-30,80.4
2020-08-31,74.1
2020-07-31,72.5
2020-06-30,78.1
2020-05-31,72.3
2020-04-30,71.8
2020-03-31,89.1
2020-02-29,101.0
2020-01-31,99.8
2019-12-31,99.3
2019-11-30,96.8
2019-10-31,95.5
2019-09-30,93.2
2019-08-31,89.8
2019-07-31,98.4
2019-06-30,98.2
2019-05-31,100.0
2019-04-30,97.2
2019-03-31,98.4
2019-02-28,93.8
2019-01-31,91.2
2018-12-31,98.3
2018-11-30,97.5
2018-10-31,98.6
2018-09-30,100.1
2018-08-31,96.2
2018-07-31,97.9
2018-06-30,98.2
2018-05-31,98.0
2018-04-30,98.8
2018-03-31,101.4
2018-02-28,99.7
2018-01-31,95.7
2017-12-31,95.9
2017-11-30,98.5
2017-10-31,100.7
2017-09-30,95.1
2017-08-31,96.8
2017-07-31,93.4
2017-06-30,95.0
2017-05-31,97.1
2017-04-30,97.0
2017-03-31,96.9
2017-02-28,96.3
2017-01-31,98.5
2016-12-31,98.2
2016-11-30,93.8
2016-10-31,87.2
2016-09-30,91.2
2016-08-31,89.8
2016-07-31,90.0
2016-06-30,93.5
2016-05-31,94.7
2016-04-30,89.0
2016-03-31,91.0
2016-02-29,91.7
2016-01-31,92.0
2015-12-31,92.6
2015-11-30,91.3
2015-10-31,90.0
2015-09-30,87.2
2015-08-31,91.9
2015-07-31,93.1
2015-06-30,96.1
2015-05-31,90.7
2015-04-30,95.9
2015-03-31,93.0
2015-02-28,95.4
2015-01-31,98.1
2014-12-31,93.6
2014-11-30,88.8
2014-10-31,86.9
2014-09-30,84.6
2014-08-31,82.5
2014-07-31,81.8
2014-06-30,82.5
2014-05-31,81.9
2014-04-30,84.1
2014-03-31,80.0
2014-02-28,81.6
2014-01-31,81.2
2013-12-31,82.5
2013-11-30,75.1
2013-10-31,73.2
2013-09-30,77.5
2013-08-31,82.1
2013-07-31,85.1
2013-06-30,84.1
2013-05-31,84.5
2013-04-30,76.4
2013-03-31,78.6
2013-02-28,77.6
2013-01-31,73.8
2012-12-31,72.9
2012-11-30,82.7
2012-10-31,82.6
2012-09-30,78.3
2012-08-31,74.3
2012-07-31,72.3
2012-06-30,73.2
2012-05-31,79.3
2012-04-30,76.4
2012-03-31,76.2
2012-02-29,75.3
2012-01-31,75.0
2011-12-31,69.9
2011-11-30,63.7
2011-10-31,60.8
2011-09-30,59.5
2011-08-31,55.8
2011-07-31,63.7
2011-06-30,71.5
2011-05-31,74.3
2011-04-30,69.8
2011-03-31,67.5
2011-02-28,77.5
2011-01-31,74.2
2010-12-31,74.5
2010-11-30,71.6
2010-10-31,67.7
2010-09-30,68.2
2010-08-31,68.9
2010-07-31,67.8
2010-06-30,76.0
2010-05-31,73.6
2010-04-30,72.2
2010-03-31,73.6
2010-02-28,73.6
2010-01-31,74.4
2009-12-31,72.5
2009-11-30,67.4
2009-10-31,70.6
2009-09-30,73.5
2009-08-31,65.7
2009-07-31,66.0
2009-06-30,70.8
2009-05-31,68.7
2009-04-30,65.1
2009-03-31,57.3
2009-02-28,56.3
2009-01-31,61.2
2008-12-31,60.1
2008-11-30,55.3
2008-10-31,57.6
2008-09-30,70.3
2008-08-31,63.0
2008-07-31,61.2
2008-06-30,56.4
2008-05-31,59.8
2008-04-30,62.6
2008-03-31,69.5
2008-02-29,70.8
2008-01-31,78.4
2007-12-31,75.5
2007-11-30,76.1
2007-10-31,80.9
2007-09-30,83.4
2007-08-31,83.4
2007-07-31,90.4
2007-06-30,85.3
2007-05-31,88.3
2007-04-30,87.1
2007-03-31,88.4
2007-02-28,91.3
2007-01-31,96.9
2006-12-31,91.7
2006-11-30,92.1
2006-10-31,93.6
2006-09-30,85.4
2006-08-31,82.0
2006-07-31,84.7
2006-06-30,84.9
