Date,18-34,35-54,55+
2022-05-31,69.1,58.5,52.9
2022-04-30,75.7,66.7,59.4
2022-03-31,70.8,55.8,57.1
2022-02-28,70.4,66.6,56.3
2022-01-31,72.4,69.0,64.0
2021-12-31,81.4,68.9,66.6
2021-11-30,76.3,68.7,61.6
2021-10-31,86.5,71.9,64.9
2021-09-30,88.1,72.0,66.5
2021-08-31,81.6,71.8,63.9
2021-07-31,86.7,80.6,79.0
2021-06-30,93.3,87.3,80.6
2021-05-31,92.0,83.7,77.5
2021-04-30,94.5,88.7,84.9
2021-03-31,94.9,84.1,81.6
2021-02-28,90.4,79.9,68.0
2021-01-31,86.9,77.6,75.8
2020-12-31,88.7,78.3,78.3
2020-11-30,80.7,78.8,73.6
2020-10-31,86.2,81.9,79.5
2020-09-30,80.0,80.2,81.2
2020-08-31,74.4,75.1,73.0
2020-07-31,72.8,69.2,74.4
2020-06-30,75.1,78.8,79.2
2020-05-31,74.6,71.1,72.2
2020-04-30,73.4,66.1,74.8
2020-03-31,95.5,85.8,88.6
2020-02-29,99.5,107.2,96.8
2020-01-31,102.3,99.6,99.3
2019-12-31,100.1,100.1,98.8
2019-11-30,105.6,97.6,92.8
2019-10-31,100.9,96.0,92.8
2019-09-30,100.6,96.1,87.3
2019-08-31,98.6,89.1,85.7
2019-07-31,97.2,102.5,96.6
2019-06-30,105.1,98.1,95.1
2019-05-31,106.9,97.2,99.0
2019-04-30,95.6,99.4,96.3
2019-03-31,102.7,98.9,96.9
2019-02-28,99.9,95.8,89.7
2019-01-31,100.6,89.6,87.6
2018-12-31,98.8,100.3,96.8
2018-11-30,96.8,98.5,97.6
2018-10-31,96.9,101.9,97.4
2018-09-30,99.3,102.3,98.9
2018-08-31,97.3,100.3,92.4
2018-07-31,100.3,101.0,94.5
2018-06-30,98.0,104.3,93.1
2018-05-31,105.0,100.0,93.3
2018-04-30,102.3,102.7,93.2
2018-03-31,104.2,102.4,99.1
2018-02-28,96.5,101.5,99.8
2018-01-31,96.7,99.4,93.0
2017-12-31,102.5,97.4,90.6
2017-11-30,104.3,104.0,91.4
2017-10-31,104.6,101.7,98.1
2017-09-30,100.1,93.8,94.1
2017-08-31,100.5,94.3,96.6
2017-07-31,95.5,101.2,86.7
2017-06-30,99.2,96.8,91.2
2017-05-31,103.4,99.8,91.4
2017-04-30,98.7,99.6,94.2
2017-03-31,97.1,99.2,95.9
2017-02-28,97.4,97.3,94.9
2017-01-31,104.9,99.3,94.3
2016-12-31,103.3,98.6,95.1
2016-11-30,101.7,97.4,86.6
2016-10-31,93.4,92.6,79.7
2016-09-30,103.4,91.6,84.5
2016-08-31,94.5,93.9,83.8
2016-07-31,102.2,95.8,78.8
2016-06-30,102.9,99.1,83.9
2016-05-31,112.9,97.1,82.9
2016-04-30,102.0,94.0,78.4
2016-03-31,103.3,95.0,80.8
2016-02-29,103.5,97.0,80.3
2016-01-31,110.6,93.4,81.0
2015-12-31,105.9,94.6,84.2
2015-11-30,107.6,94.7,78.5
2015-10-31,104.9,94.9,77.5
2015-09-30,102.7,89.5,75.6
2015-08-31,112.1,94.6,78.5
2015-07-31,108.6,94.6,83.3
2015-06-30,111.1,98.2,86.9
2015-05-31,102.9,93.7,81.1
2015-04-30,108.7,100.7,84.7
2015-03-31,106.7,92.5,84.9
2015-02-28,110.6,99.7,84.0
2015-01-31,112.3,99.4,89.5
2014-12-31,110.5,98.6,82.2
2014-11-30,104.6,89.0,80.6
2014-10-31,100.2,86.5,81.0
2014-09-30,100.6,88.1,75.0
2014-08-31,96.4,82.2,76.9
2014-07-31,94.3,86.5,74.4
2014-06-30,94.7,90.2,73.7
2014-05-31,93.6,79.7,78.4
2014-04-30,102.0,80.7,78.6
2014-03-31,96.3,85.3,70.0
2014-02-28,101.0,84.7,73.8
2014-01-31,96.8,81.2,76.5
2013-12-31,98.1,88.0,74.7
2013-11-30,82.2,74.3,72.5
2013-10-31,85.5,77.4,67.5
2013-09-30,98.9,77.4,69.3
2013-08-31,92.0,87.1,74.6
2013-07-31,104.2,87.2,77.5
2013-06-30,97.2,90.2,76.3
2013-05-31,98.4,83.0,80.5
2013-04-30,95.7,76.1,71.2
2013-03-31,94.0,77.2,75.2
2013-02-28,87.4,77.0,74.3
2013-01-31,87.8,76.3,69.3
2012-12-31,91.4,75.4,67.7
2012-11-30,97.0,84.1,78.9
2012-10-31,97.1,88.7,75.3
2012-09-30,82.6,80.6,75.8
2012-08-31,89.9,77.0,69.0
2012-07-31,84.9,77.1,67.9
2012-06-30,80.5,77.6,68.8
2012-05-31,100.4,85.1,71.3
2012-04-30,88.7,78.8,71.9
2012-03-31,86.5,81.2,70.4
2012-02-29,88.6,80.1,68.5
2012-01-31,79.4,78.1,71.8
2011-12-31,85.5,72.3,64.7
2011-11-30,69.8,65.7,61.5
2011-10-31,82.2,63.6,53.0
2011-09-30,64.2,64.0,55.2
2011-08-31,78.3,57.4,49.6
2011-07-31,69.1,66.9,59.9
2011-06-30,85.1,74.8,66.0
2011-05-31,73.4,81.2,68.9
2011-04-30,81.2,73.1,64.6
2011-03-31,84.2,73.0,59.9
2011-02-28,82.2,81.0,73.3
2011-01-31,90.8,74.9,70.0
2010-12-31,86.4,76.9,69.2
2010-11-30,84.0,74.9,65.5
2010-10-31,78.4,70.5,62.5
2010-09-30,86.3,71.7,61.0
2010-08-31,82.6,73.7,60.3
2010-07-31,86.6,70.0,62.4
2010-06-30,84.6,79.1,71.4
2010-05-31,82.0,75.5,68.7
2010-04-30,80.1,73.7,69.1
2010-03-31,89.7,73.7,70.7
2010-02-28,95.2,70.2,69.0
2010-01-31,86.0,75.1,70.2
2009-12-31,84.8,72.4,68.1
2009-11-30,71.9,69.0,64.8
2009-10-31,77.0,74.4,65.3
2009-09-30,80.7,76.1,69.5
2009-08-31,77.0,66.1,61.9
2009-07-31,78.8,67.2,61.5
2009-06-30,76.2,71.4,68.6
2009-05-31,76.9,67.9,67.6
2009-04-30,70.3,67.8,60.7
2009-03-31,70.9,52.4,55.9
2009-02-28,65.5,56.1,53.6
2009-01-31,67.5,61.9,58.7
2008-12-31,64.6,62.4,55.7
2008-11-30,61.2,53.1,55.6
2008-10-31,62.7,59.4,53.8
2008-09-30,74.5,71.9,66.9
2008-08-31,75.3,64.7,57.6
2008-07-31,77.0,59.0,56.4
2008-06-30,60.4,57.4,53.6
2008-05-31,73.0,57.2,56.9
2008-04-30,71.8,61.1,60.9
2008-03-31,86.8,70.9,61.7
2008-02-29,82.7,71.5,65.2
2008-01-31,90.5,80.6,71.7
2007-12-31,90.9,77.2,67.2
2007-11-30,87.5,78.2,68.1
2007-10-31,104.2,79.0,74.2
2007-09-30,103.8,82.6,77.1
2007-08-31,96.3,86.4,75.6
2007-07-31,99.9,90.9,85.7
2007-06-30,96.3,85.8,80.0
2007-05-31,97.5,88.6,82.9
2007-04-30,103.0,88.9,77.9
2007-03-31,102.0,88.0,83.2
2007-02-28,103.8,98.7,79.1
2007-01-31,107.1,99.8,88.3
2006-12-31,104.7,93.2,84.9
2006-11-30,98.9,92.9,88.5
2006-10-31,101.9,95.9,87.2
2006-09-30,104.7,84.4,78.8
2006-08-31,92.0,86.5,72.8
2006-07-31,94.3,87.0,77.7
2006-06-30,92.7,88.1,78.4
2006-05-31,86.1,81.7,72.4
2006-04-30,96.5,93.6,76.1
2006-03-31,99.8,94.4,78.7
2006-02-28,99.8,90.9,76.2
2006-01-31,100.1,92.2,85.9
2005-12-31,103.3,95.0,80.4
2005-11-30,101.4,81.8,69.2
2005-10-31,78.8,75.2,70.6
2005-09-30,87.6,80.0,69.0
2005-08-31,96.6,94.3,79.7
2005-07-31,107.4,98.5,87.8
2005-06-30,108.6,98.4,83.9
2005-05-31,95.7,89.8,78.0
2005-04-30,95.4,89.3,81.3
2005-03-31,108.6,89.6,87.1
2005-02-28,103.0,96.0,86.5
2005-01-31,105.0,97.5,87.7
2004-12-31,99.9,100.2,91.5
2004-11-30,105.2,92.2,86.8
2004-10-31,96.3,91.6,89.4
2004-09-30,101.8,95.4,88.3
2004-08-31,105.2,96.0,89.5
2004-07-31,108.5,99.2,86.9
2004-06-30,102.0,100.7,85.8
2004-05-31,99.1,87.0,87.7
2004-04-30,104.5,91.8,90.5
2004-03-31,106.2,97.5,87.1
2004-02-29,107.3,100.0,80.4
2004-01-31,115.7,105.3,94.9
2003-12-31,100.8,95.2,83.3
2003-11-30,105.0,92.6,87.3
2003-10-31,100.2,88.5,83.3
2003-09-30,101.6,88.6,76.6
2003-08-31,102.4,92.0,78.9
2003-07-31,96.4,89.2,89.1
2003-06-30,98.9,89.4,82.8
2003-05-31,107.4,89.6,85.6
2003-04-30,94.7,87.5,77.2
2003-03-31,88.3,80.4,66.4
2003-02-28,90.6,77.1,75.6
2003-01-31,89.5,82.8,76.5
2002-12-31,98.6,88.5,75.2
2002-11-30,95.0,83.5,76.0
2002-10-31,94.6,81.6,69.9
2002-09-30,100.8,86.5,75.9
2002-08-31,90.4,85.8,88.3
2002-07-31,97.2,90.2,79.0
2002-06-30,99.0,95.9,82.8
2002-05-31,105.9,97.0,90.0
2002-04-30,102.7,93.5,86.6
2002-03-31,99.9,97.1,90.3
2002-02-28,97.8,90.3,84.6
2002-01-31,102.8,91.4,87.6
2001-12-31,90.7,89.3,86.9
2001-11-30,89.4,84.7,78.2
2001-10-31,92.1,83.8,74.7
2001-09-30,95.5,82.2,72.3
2001-08-31,103.4,92.6,81.3
2001-07-31,109.2,90.1,84.4
2001-06-30,98.9,92.2,87.9
2001-05-31,103.0,93.0,82.7
2001-04-30,97.2,87.8,81.9
2001-03-31,102.8,93.0,80.2
2001-02-28,100.2,92.0,82.8
2001-01-31,106.8,95.8,82.9
2000-12-31,106.3,98.2,91.8
2000-11-30,116.2,109.3,99.8
2000-10-31,114.1,108.7,95.5
2000-09-30,114.4,110.2,96.9
2000-08-31,116.6,106.7,100.2
2000-07-31,117.8,112.5,95.0
2000-06-30,113.2,105.5,103.0
2000-05-31,119.2,112.2,102.2
2000-04-30,118.3,112.0,98.0
2000-03-31,110.2,112.5,97.3
2000-02-29,116.9,112.6,105.3
2000-01-31,120.0,113.3,103.7
1999-12-31,110.5,107.3,98.6
1999-11-30,113.6,107.5,100.8
1999-10-31,108.9,107.5,92.4
1999-09-30,112.5,110.3,98.4
1999-08-31,111.8,106.4,94.4
1999-07-31,106.5,108.7,101.9
1999-06-30,112.1,110.5,98.4
1999-05-31,114.7,107.2,98.4
1999-04-30,109.3,110.2,93.4
1999-03-31,116.3,106.1,96.5
1999-02-28,115.3,111.8,97.5
1999-01-31,109.6,107.4,94.3
1998-12-31,108.9,103.1,90.0
1998-11-30,110.2,104.5,94.2
1998-10-31,107.7,97.8,88.4
1998-09-30,107.3,100.1,95.9
1998-08-31,113.4,107.5,93.7
1998-07-31,112.5,105.1,99.0
1998-06-30,113.5,108.9,96.0
1998-05-31,113.9,108.4,98.1
1998-04-30,116.4,110.6,99.8
1998-03-31,112.7,107.8,99.8
1998-02-28,115.0,112.5,104.3
1998-01-31,116.6,105.3,99.6
1997-12-31,111.2,105.2,91.7
1997-11-30,113.4,108.8,100.1
1997-10-31,114.7,108.4,94.8
1997-09-30,113.0,106.3,99.5
1997-08-31,108.9,106.4,98.0
1997-07-31,116.2,108.4,98.6
1997-06-30,112.5,105.1,97.3
1997-05-31,110.6,103.9,95.2
1997-04-30,111.6,103.7,89.2
1997-03-31,108.1,98.3,94.2
1997-02-28,103.6,103.7,91.0
1997-01-31,103.8,102.1,85.9
1996-12-31,104.7,99.1,87.8
1996-11-30,108.0,101.0,89.5
1996-10-31,100.2,95.8,94.2
1996-09-30,107.9,91.3,85.3
1996-08-31,110.7,91.8,85.2
1996-07-31,103.1,92.5,89.3
1996-06-30,98.7,94.9,83.7
1996-05-31,94.3,88.6,86.1
1996-04-30,100.0,96.6,82.1
1996-03-31,107.7,92.2,82.5
1996-02-29,100.4,89.9,77.3
1996-01-31,99.7,86.2,81.8
1995-12-31,102.2,93.8,78.4
1995-11-30,96.1,87.5,81.8
1995-10-31,103.7,91.4,74.8
1995-09-30,96.3,92.5,78.4
1995-08-31,106.8,95.3,86.7
1995-07-31,104.4,93.2,85.9
