,_fivetran_id,id,date,email_contacts,follower_count,get_directions_clicks,phone_call_clicks,profile_views,text_message_clicks,website_clicks,impressions,impressions_7_d,impressions_28_d,reach,reach_7_d,reach_28_d,_fivetran_synced
0,sdsmJfLdZuuPBWiExnjZ3mzX0DQ=,17841413694138154,2022-07-30,0,0.0,0,0,1,0,0,6,13,165,5,7,109,2022-08-08 10:42:03.740000+00:00
1,45Dy1iaT4Oxg516Shlmb5I0oQK8=,17841413694138154,2022-08-05,0,0.0,0,0,0,0,0,3,53,204,1,9,110,2022-08-08 10:42:03.742000+00:00
2,lOxt3MOmUvCcsQbgKAjti8xAK3Q=,17841413694138154,2022-07-15,0,0.0,0,0,0,0,0,0,7,118,0,7,13,2022-08-08 10:42:03.735000+00:00
3,VNTP0CzofVrvySlOGlTMLmS9RwA=,17841413694138154,2022-07-31,0,0.0,0,0,0,0,0,4,13,169,2,8,111,2022-08-08 10:42:03.741000+00:00
4,TWdbzyVHl+GBYGruvdU392pnYPk=,17841413694138154,2022-07-24,0,0.0,0,0,1,0,0,4,140,257,1,92,104,2022-08-08 10:42:03.738000+00:00
5,n0/fPlXJmgzVwusTipSDd9KHtiU=,17841413694138154,2022-07-17,0,0.0,0,0,0,0,0,0,4,119,0,4,14,2022-08-08 10:42:03.736000+00:00
6,DqNnYt71m2rXCqyClpEv1T1bQt4=,17841413694138154,2022-07-27,0,0.0,0,0,0,0,0,2,45,260,1,34,106,2022-08-08 10:42:03.739000+00:00
7,LlaMhgVX1pt2ROon1l3Is4YeoG0=,17841413694138154,2022-07-14,0,0.0,0,0,0,0,0,1,7,120,1,7,14,2022-08-08 10:42:03.734000+00:00
8,4CHQ5TtQKYC7bCbdW3x31SzD/pA=,17841413694138154,2022-07-28,0,0.0,0,0,0,0,0,0,18,159,0,13,105,2022-08-08 10:42:03.740000+00:00
9,q4ZsnaiBJQ0ajH1VBe12jKX1m7E=,17841413694138154,2022-07-16,0,1.0,0,0,0,0,0,1,5,119,1,5,14,2022-08-08 10:42:03.736000+00:00
10,vxIO3MVdJxKtxUa60BfppI/sH9U=,17841413694138154,2022-08-01,0,0.0,0,0,0,0,0,0,13,169,0,8,111,2022-08-08 10:42:03.741000+00:00
11,QUaFQIviqQcMMISbg1wUVTOqoB0=,17841413694138154,2022-08-04,0,0.0,0,0,3,0,0,13,50,201,1,8,109,2022-08-08 10:42:03.742000+00:00
12,sdFpaBljI871AydFww9Z3qbATsA=,17841413694138154,2022-07-12,0,2.0,0,0,0,0,0,0,11,117,0,6,11,2022-08-08 10:42:03.733000+00:00
13,szonOaUY3J/GTzuKvL2iy4766MQ=,17841413694138154,2022-07-10,0,1.0,0,0,0,0,0,1,12,118,1,7,12,2022-08-08 10:42:03.733000+00:00
14,A2ImuFsbSTxvAmlSwkFOuCaso4c=,17841413694138154,2022-07-19,0,0.0,0,0,1,0,0,48,81,195,45,68,77,2022-08-08 10:42:03.737000+00:00
15,RVayB97N+XkU4Fc7160age7UBPo=,17841413694138154,2022-07-22,0,0.0,0,0,0,0,0,9,135,252,8,91,103,2022-08-08 10:42:03.738000+00:00
16,nZuNR/SE0q8tUpdi8ZPMB1FSn3E=,17841413694138154,2022-08-03,0,0.0,0,0,0,0,0,0,37,190,0,8,110,2022-08-08 10:42:03.742000+00:00
17,zOaTi2CPjmzOCC++94W4ML7TjLw=,17841413694138154,2022-07-09,0,0.0,0,0,0,0,0,3,11,117,3,6,11,2022-08-08 10:42:03.732000+00:00
18,0Gacd1a2xEA4WyOQA5/URmC52fw=,17841413694138154,2022-07-13,0,0.0,0,0,0,0,0,2,8,119,2,7,13,2022-08-08 10:42:03.734000+00:00
19,o3k5j8UJVMtQz+x/InG+N4ITxLI=,17841413694138154,2022-07-29,0,1.0,0,0,0,0,0,0,9,159,0,5,105,2022-08-08 10:42:03.740000+00:00
20,YLUndALpYjoeDzXQyP8qsVJ6U8U=,17841413694138154,2022-07-23,0,0.0,0,0,0,0,0,2,136,253,2,91,103,2022-08-08 10:42:03.738000+00:00
21,lI914BNN4bDb6Z6AvwuYg+TF9+c=,17841413694138154,2022-07-21,0,0.0,0,0,0,0,0,27,126,243,23,86,98,2022-08-08 10:42:03.737000+00:00
22,sgJ9cWXqMaL6C6B2F4oceEqdbJU=,17841413694138154,2022-07-26,0,0.0,0,0,0,0,0,1,64,258,1,41,105,2022-08-08 10:42:03.739000+00:00
23,0I6uxAWdN5b3pnHzBrdz1F2jLoQ=,17841413694138154,2022-07-20,0,0.0,0,0,0,0,0,21,100,216,15,72,83,2022-08-08 10:42:03.737000+00:00
24,ypApo/VjuQVageZiyfx1wyBp4O0=,17841413694138154,2022-07-25,0,1.0,0,0,0,0,0,0,111,257,0,78,104,2022-08-08 10:42:03.739000+00:00
25,nNo/zB5aRv9H0efr/z61WVZ1ocE=,17841413694138154,2022-07-18,0,0.0,0,0,0,0,0,29,33,147,25,29,38,2022-08-08 10:42:03.736000+00:00
26,CK1yXU8moYxJmvw3qRtuvr6QoEo=,17841413694138154,2022-07-11,0,0.0,0,0,0,0,0,0,12,117,0,7,11,2022-08-08 10:42:03.733000+00:00
27,a437kEqcL/H2WHMzQkWSB6WyXHQ=,17841413694138154,2022-08-06,0,0.0,0,0,0,0,0,0,47,201,0,4,107,2022-08-08 10:42:03.743000+00:00
28,cCP5INJLcREmy3d2BMQHPCGmjyo=,17841413694138154,2022-08-02,0,0.0,0,0,1,0,0,27,39,195,1,9,111,2022-08-08 10:42:03.741000+00:00
29,NwroUpJdykpetxw93vfhOtkvcW8=,17841413694138154,2022-05-23,0,,0,0,0,0,0,0,68,238,0,33,81,2022-08-08 10:43:22.537000+00:00
30,OP2gPbrvVJzx9zefQUCVChW+yYo=,17841413694138154,2022-02-21,0,,0,0,1,0,0,3,29,73,1,24,44,2022-08-08 10:43:28.241000+00:00
31,t9CRfPtndlPXGOJ0aKY87ionKR4=,17841413694138154,2022-02-27,0,,0,0,0,0,0,0,12,59,0,4,37,2022-08-08 10:43:28.243000+00:00
32,cuZcbak9XE2qx8CGNNOBwoauzhs=,17841413694138154,2022-05-08,0,,0,0,0,0,0,0,15,171,0,11,74,2022-08-08 10:43:24.428000+00:00
33,z/TbmFgRSwEp1Y0BlB3XGum0yws=,17841413694138154,2022-06-09,0,,0,0,1,0,0,0,1,113,0,1,53,2022-08-08 10:43:20.397000+00:00
34,K6F/qJpMmYN1s55PW2TkcSU/veA=,17841413694138154,2022-05-19,0,,0,0,3,0,0,20,99,262,11,45,86,2022-08-08 10:43:22.535000+00:00
35,RyFkoXRrFwhGtxkZWGSKLBHev+A=,17841413694138154,2022-05-01,0,,0,0,0,0,0,8,75,186,8,38,81,2022-08-08 10:43:24.426000+00:00
36,omuFOSOC/TaxbGcUZb8Ozr8oPIE=,17841413694138154,2022-05-07,0,,0,0,0,0,0,1,23,171,1,18,74,2022-08-08 10:43:24.428000+00:00
37,dESCsqKGO3UQcxG3llkqH6MX8SM=,17841413694138154,2022-06-28,0,,0,0,0,0,0,0,1,6,0,1,5,2022-08-08 10:43:20.405000+00:00
38,ZWuICN5bW/MjtCksj2/RtQxcijI=,17841413694138154,2022-03-09,0,,0,0,0,0,0,0,19,82,0,8,47,2022-08-08 10:43:28.245000+00:00
39,UKd2TrYYQuAqirSSzHL960LjJto=,17841413694138154,2022-05-29,0,,0,0,0,0,0,0,10,199,0,5,74,2022-08-08 10:43:22.539000+00:00
40,GxWoiwl1yynIokAOAeQ7fKU7B3Y=,17841413694138154,2022-03-29,0,,0,0,0,0,0,3,47,81,3,47,64,2022-08-08 10:43:26.271000+00:00
41,LP9q98FJ6LBuOEvuPaSSz+xL+yQ=,17841413694138154,2022-05-27,0,,0,0,0,0,0,0,4,205,0,4,78,2022-08-08 10:43:22.538000+00:00
42,z+YmBlE0bBBREtkv2KcieDYCyb0=,17841413694138154,2022-06-26,0,,0,0,0,0,0,0,2,7,0,2,6,2022-08-08 10:43:20.404000+00:00
43,pkjwnFpHVRecsdfu1qkIPcx1LhI=,17841413694138154,2022-02-23,0,,0,0,0,0,0,0,13,77,0,7,45,2022-08-08 10:43:28.242000+00:00
44,izAZqjQk7Gt9Yg9+X25wnnCtFCA=,17841413694138154,2022-02-12,0,,0,0,0,0,0,0,3,41,0,2,30,2022-08-08 10:43:28.238000+00:00
45,BRWY4LRpJvP91MYRSGAPn3UFH18=,17841413694138154,2022-02-14,0,,0,0,0,0,0,14,17,51,14,16,36,2022-08-08 10:43:28.239000+00:00
46,2PlrkZ65YBWvij121IPXWbXi2To=,17841413694138154,2022-06-05,0,,0,0,0,0,0,0,1,185,0,1,70,2022-08-08 10:43:22.542000+00:00
47,4SinhnE8+tsgpu0ZPOXi1SanKQA=,17841413694138154,2022-04-26,0,,0,0,1,0,0,2,29,176,2,23,92,2022-08-08 10:43:24.424000+00:00
48,PqJIg3tmjfMqt34L63hh+ZtSimo=,17841413694138154,2022-04-22,0,,0,0,0,0,0,0,3,194,0,3,113,2022-08-08 10:43:24.422000+00:00
49,1ie2610+FXPjVG2sNn7CwjdcXuU=,17841413694138154,2022-03-20,0,,0,0,1,0,0,0,5,46,0,4,26,2022-08-08 10:43:26.269000+00:00
50,6JbYpBWRzp0nr3ux9KDyAfb9Ihs=,17841413694138154,2022-04-25,0,,0,0,0,0,0,26,27,177,20,21,93,2022-08-08 10:43:24.423000+00:00
51,tEcv8VkMyGtTdnvMVQSZNzLn7/k=,17841413694138154,2022-06-20,0,,0,0,0,0,0,1,3,16,1,2,10,2022-08-08 10:43:20.401000+00:00
52,a2XMqovAz2azcTlgiAIk6liNvr4=,17841413694138154,2022-05-21,0,,0,0,0,0,0,0,101,264,0,46,87,2022-08-08 10:43:22.536000+00:00
53,BVCbJO9wdcVPuAqjKw/2nFAr2KM=,17841413694138154,2022-05-18,0,,0,0,22,0,1,38,81,243,17,36,77,2022-08-08 10:43:22.534000+00:00
54,H0XRSeXZSrUuroHvwhitLdkA/Mw=,17841413694138154,2022-06-04,0,,0,0,0,0,0,0,1,185,0,1,70,2022-08-08 10:43:22.541000+00:00
55,zhqKKKRFCIipokL4Gw/YYHOUGDg=,17841413694138154,2022-06-14,0,,0,0,0,0,0,0,1,73,0,1,37,2022-08-08 10:43:20.399000+00:00
56,AvOLOMtgY3iiQMl58h+uwM5L5A8=,17841413694138154,2022-05-15,0,,0,0,1,0,0,1,74,166,1,31,59,2022-08-08 10:43:22.533000+00:00
57,z+fDnDbVq2uzq9f856HI/bW8IJ8=,17841413694138154,2022-02-25,0,,0,0,0,0,0,4,14,66,1,5,39,2022-08-08 10:43:28.242000+00:00
58,E6qRTF4+P1TVDqfytonGjfXHh4w=,17841413694138154,2022-03-27,0,,0,0,0,0,0,0,1,35,0,1,23,2022-08-08 10:43:26.271000+00:00
59,tQtNgGY1ikF8x+r6fh9XQc8K7c4=,17841413694138154,2022-02-10,0,,0,0,0,0,0,1,4,41,1,3,30,2022-08-08 10:43:28.237000+00:00
60,Kh05WLmLhA0/9DX9NdrDYJRj7rA=,17841413694138154,2022-03-01,0,,0,0,0,0,0,0,5,56,0,2,35,2022-08-08 10:43:28.243000+00:00
61,VkG/HlDVfRLkyIg8UuiCKL2N95E=,17841413694138154,2022-06-17,0,,0,0,2,0,0,2,3,15,1,2,9,2022-08-08 10:43:20.400000+00:00
