,_fivetran_id,id,date,metric,key,value,_fivetran_synced
0,e3b38JsMbx09dBiIOwxk/MmBYro=,17841413694138154,2022-08-06,online_followers,11,34,2022-08-08 10:43:18.928000+00:00
1,xwnlw793C/inMK5bg3Ry1z+HCpg=,17841413694138154,2022-08-08,audience_city,"Safi, Doukkala-Abda",1,2022-08-08 10:43:18.881000+00:00
2,qRtyYbSkM3LMAnSs7o3BQt73nAU=,17841413694138154,2022-08-08,audience_country,MA,98,2022-08-08 10:43:18.903000+00:00
3,9DF8b92mahHrXd3EAGgyTLjAiEA=,17841413694138154,2022-08-08,audience_city,"Vitebsk, Vitebsk Region",1,2022-08-08 10:43:18.895000+00:00
4,jaxEj1jmpp0ETqvgTxH7g2kv1/A=,17841413694138154,2022-08-08,audience_city,"Dakhlah, Oued Ed-Dahab-Lagouira",2,2022-08-08 10:43:18.893000+00:00
5,4YC11WaRpeJvTVwBHJh5t7/KBno=,17841413694138154,2022-08-08,audience_city,"Lagos, Lagos State",4,2022-08-08 10:43:18.885000+00:00
6,MS+aSSUumsZ7hstEH87UCQL1XtU=,17841413694138154,2022-08-08,audience_locale,pt_BR,3,2022-08-08 10:43:18.922000+00:00
7,WwhDg91pLyV5ib/fgpRyamDp2+k=,17841413694138154,2022-08-08,audience_country,AO,2,2022-08-08 10:43:18.909000+00:00
8,4aRLC5jAzElIa1sAIV9JEcaW1Xc=,17841413694138154,2022-08-08,audience_city,"Livry-Gargan, Île-de-France",1,2022-08-08 10:43:18.889000+00:00
9,3Go/FedqfaLA4Fuh1Bfi5MQQHSo=,17841413694138154,2022-08-08,audience_city,"Léguevin, Midi-Pyrénées",1,2022-08-08 10:43:18.886000+00:00
10,7L2QEYnsHwGK4E1FuyXqQbgXvXw=,17841413694138154,2022-08-08,audience_city,"Saint-Cyr-l'École, Île-de-France",1,2022-08-08 10:43:18.880000+00:00
11,p3rjChF4mUwLF+WQeCR9AoNqzN8=,17841413694138154,2022-08-08,audience_country,CY,1,2022-08-08 10:43:18.910000+00:00
12,4Am3BFZuXD4SRy63uUoD2XePWiA=,17841413694138154,2022-08-06,online_followers,19,10,2022-08-08 10:43:18.931000+00:00
13,GOFPLxKF/zr5H23P2dAExc3F9z0=,17841413694138154,2022-08-08,audience_country,LB,1,2022-08-08 10:43:18.910000+00:00
14,D6v3kN+f8IlGrGam4vPa6ghaIBY=,17841413694138154,2022-08-06,online_followers,16,34,2022-08-08 10:43:18.929000+00:00
15,gYvsVmTKVPHsOJqe0Z9qa0iiDfI=,17841413694138154,2022-08-08,audience_city,"Sidi Slimane, Gharb-Chrarda-Béni Hssen",1,2022-08-08 10:43:18.891000+00:00
16,KWyCmVVLojCSoZMi/yptGbkIcig=,17841413694138154,2022-08-08,audience_city,"Marrakesh, Marrakesh-Tensift-El Haouz",7,2022-08-08 10:43:18.891000+00:00
17,9+6upEo1dPSCD3r8hg+lUKyqWr4=,17841413694138154,2022-08-08,audience_city,"Kinshasa, Kinshasa",2,2022-08-08 10:43:18.882000+00:00
18,UH5jNdXJRmvAWHbwy5pPvcrK614=,17841413694138154,2022-08-08,audience_city,"Rabat, Rabat-Salé-Zemmour-Zaer",9,2022-08-08 10:43:18.887000+00:00
19,M9ITREk28DUy+sBIE7Q9/2pUPmk=,17841413694138154,2022-08-08,audience_city,"Batna, Batna Province",1,2022-08-08 10:43:18.897000+00:00
20,wUE9gk6AdqfP0rd8bowN57N3z1U=,17841413694138154,2022-08-08,audience_country,NG,5,2022-08-08 10:43:18.911000+00:00
21,m87QxkF3t7iIU51PALBzjDDKC/E=,17841413694138154,2022-08-08,audience_locale,ar_AR,3,2022-08-08 10:43:18.920000+00:00
22,IPAeQ6emcBIOWfW35fQjNjGFWOA=,17841413694138154,2022-08-08,audience_city,"Curitiba, Paraná",1,2022-08-08 10:43:18.899000+00:00
23,D9eYTXXcPTF5SIh7aalgU3aeUNU=,17841413694138154,2022-08-08,audience_city,"Hillsdale, New York",1,2022-08-08 10:43:18.885000+00:00
24,ElTpd5pP9YcjBurYfd1xLM37wdg=,17841413694138154,2022-08-08,audience_country,CI,3,2022-08-08 10:43:18.907000+00:00
25,/Nd0dkJo+r2zUKuFDiETIdWvhX0=,17841413694138154,2022-08-08,audience_city,"Santiago, Santiago Metropolitan Region",1,2022-08-08 10:43:18.898000+00:00
26,f1IArzQPXkqI4ti6EhxcJqF3qMc=,17841413694138154,2022-08-06,online_followers,22,6,2022-08-08 10:43:18.932000+00:00
27,pS/FIY+yX3d/c7wkXwhivVUxmjg=,17841413694138154,2022-08-08,audience_gender_age,F.18-24,2,2022-08-08 10:43:18.912000+00:00
28,WSu88/MWnkUumC5iRS/E31jKqUo=,17841413694138154,2022-08-08,audience_gender_age,F.25-34,11,2022-08-08 10:43:18.913000+00:00
29,Ilw28jxhqTMYL8QsqpYkyCJzA/c=,17841413694138154,2022-08-08,audience_city,"Clermont, Picardie",1,2022-08-08 10:43:18.884000+00:00
30,9ISwyg2uGaMIf5KvpbOTlGeF8p4=,17841413694138154,2022-08-08,audience_gender_age,F.35-44,10,2022-08-08 10:43:18.913000+00:00
31,cAgoGdG9M8eW4NcJx8TS3MOnzeI=,17841413694138154,2022-08-06,online_followers,10,35,2022-08-08 10:43:18.927000+00:00
32,FWI46Qn6Dblga3S//IM+Ry3Rd/I=,17841413694138154,2022-08-08,audience_country,UA,1,2022-08-08 10:43:18.901000+00:00
33,HwNc3xplLhg8nmRkAy4xqXZ0K1I=,17841413694138154,2022-08-08,audience_country,IT,2,2022-08-08 10:43:18.908000+00:00
34,rub4Ighty5b+Q3ILv1PHMGnSAqs=,17841413694138154,2022-08-08,audience_locale,it_IT,2,2022-08-08 10:43:18.920000+00:00
35,PU1Rtic0OWI3jpgRCv18DAq2Gmk=,17841413694138154,2022-08-08,audience_gender_age,M.18-24,8,2022-08-08 10:43:18.915000+00:00
36,qy8oKGJhu2KSBg3Lu0xG16ZS/hE=,17841413694138154,2022-08-08,audience_city,"Montpellier, Languedoc-Roussillon",1,2022-08-08 10:43:18.888000+00:00
37,XTP/TGqEGIreYBMgjIUPmwzxkFo=,17841413694138154,2022-08-06,online_followers,23,12,2022-08-08 10:43:18.932000+00:00
38,uljdSrxQVKFJwFLbZFG9AdzhgqU=,17841413694138154,2022-08-08,audience_city,"Dakar, Dakar Region",2,2022-08-08 10:43:18.896000+00:00
39,ShZbs4Myu1XDh/BTQb21cu0NZ1w=,17841413694138154,2022-08-06,online_followers,6,33,2022-08-08 10:43:18.926000+00:00
40,H2FdfDSuD3EUamj76LmRpZyGOVY=,17841413694138154,2022-08-08,audience_gender_age,M.25-34,24,2022-08-08 10:43:18.915000+00:00
41,w7Wob4vFDCuYlTLp80Pp7s85qCE=,17841413694138154,2022-08-08,audience_city,"El Jadida, Doukkala-Abda",3,2022-08-08 10:43:18.884000+00:00
42,paVIyAlZ67bgCz4o4IVtQqMEQSs=,17841413694138154,2022-08-06,online_followers,5,38,2022-08-08 10:43:18.926000+00:00
43,oictfznQlwKism0lht1lLyLlTDY=,17841413694138154,2022-08-08,audience_city,"Latsia, Nicosia District",1,2022-08-08 10:43:18.890000+00:00
44,+ZYaWPT5H/hJPPMLQRX/C2Iag4o=,17841413694138154,2022-08-08,audience_city,"Melloussa, Tangier-Tetouan",1,2022-08-08 10:43:18.889000+00:00
45,jUC0aYERJxNTMk6y384XQ5pr/os=,17841413694138154,2022-08-06,online_followers,20,10,2022-08-08 10:43:18.931000+00:00
46,bgaoUiGs/vUoy8TykvT0cdRs1No=,17841413694138154,2022-08-08,audience_gender_age,M.35-44,31,2022-08-08 10:43:18.916000+00:00
47,deEMIpKjAfXhl81Uyr7OjCZt19o=,17841413694138154,2022-08-08,audience_city,"Fez, Fès-Boulemane",2,2022-08-08 10:43:18.896000+00:00
48,iLxcTRTHvyEcxFvc4UbYu2nPV/I=,17841413694138154,2022-08-08,audience_country,US,3,2022-08-08 10:43:18.905000+00:00
49,ZVjwgcuF7jBhU0pn39Uz4RLTcm8=,17841413694138154,2022-08-08,audience_locale,pt_PT,1,2022-08-08 10:43:18.923000+00:00
50,4lCMj3W1r6M0LyBe8kocqm0C0gM=,17841413694138154,2022-08-08,audience_country,CD,2,2022-08-08 10:43:18.906000+00:00
51,NYJJr81+mimAlXihG8tEJG86Zm0=,17841413694138154,2022-08-08,audience_city,"Saint-Ouen-sur-Seine, Île-de-France",1,2022-08-08 10:43:18.900000+00:00
52,rRLhbds5AR+uuD8GZQlAtINsFfU=,17841413694138154,2022-08-08,audience_country,BR,3,2022-08-08 10:43:18.902000+00:00
53,UtoqHvI5OSGuIVyM5cTAzG6Prcs=,17841413694138154,2022-08-06,online_followers,0,18,2022-08-08 10:43:18.924000+00:00
54,xBO+6UFN2As14QnsoZjQclnMDX4=,17841413694138154,2022-08-08,audience_gender_age,F.65+,2,2022-08-08 10:43:18.914000+00:00
55,eW0Bk6M0YPMQFYevsgppfcCLH54=,17841413694138154,2022-08-08,audience_gender_age,U.25-34,9,2022-08-08 10:43:18.918000+00:00
56,mXgyTDmm0KKxOkQh0htNbmkHeD8=,17841413694138154,2022-08-06,online_followers,21,5,2022-08-08 10:43:18.931000+00:00
57,a2+yc7Vny72ARuDP0uwiWKy0IGo=,17841413694138154,2022-08-08,audience_city,"Oujda, Oriental",4,2022-08-08 10:43:18.892000+00:00
58,hgJvH9PVDCZsF3jUGlFLlMoZRYg=,17841413694138154,2022-08-08,audience_city,"Borgomanero, Piedmont",1,2022-08-08 10:43:18.898000+00:00
59,7mQiz5PCZJEi2aINsEZlOZR5S18=,17841413694138154,2022-08-08,audience_country,DZ,1,2022-08-08 10:43:18.903000+00:00
60,9KjTR3TOID6MLtgPWT9vHimg1m0=,17841413694138154,2022-08-08,audience_country,BJ,2,2022-08-08 10:43:18.901000+00:00
61,niAymW7XZYl6pPUXeaT267O6py8=,17841413694138154,2022-08-08,audience_locale,en_US,13,2022-08-08 10:43:18.921000+00:00
62,llw6Z5ij5uc2FtnzWIZ0No4jt9Q=,17841413694138154,2022-08-06,online_followers,3,27,2022-08-08 10:43:18.925000+00:00
63,aUZRv4xLBgLr8ejwpZt1gXBSY/M=,17841413694138154,2022-08-06,online_followers,2,26,2022-08-08 10:43:18.924000+00:00
64,1aAeUNBX4kEYOCVb0EHMirDir+g=,17841413694138154,2022-08-08,audience_gender_age,M.55-64,5,2022-08-08 10:43:18.916000+00:00
65,BKorfs5X4V3lfatgReVrXNi5e08=,17841413694138154,2022-08-06,online_followers,7,36,2022-08-08 10:43:18.926000+00:00
66,21hO7WxOo2GepoUOIj06VXDV354=,17841413694138154,2022-08-06,online_followers,14,38,2022-08-08 10:43:18.929000+00:00
67,J3aNuM4DrcYgLPYAihTVDv/S3yQ=,17841413694138154,2022-08-06,online_followers,9,35,2022-08-08 10:43:18.927000+00:00
68,a4eVNpb7GwebWWt1s1kvuhzH7Vk=,17841413694138154,2022-08-08,audience_locale,nl_NL,2,2022-08-08 10:43:18.923000+00:00
69,77RLhPTpQaKlns0/FGZkgrcsWr4=,17841413694138154,2022-08-08,audience_country,CM,1,2022-08-08 10:43:18.908000+00:00
70,gLbIpR7iVmJ1pP//R/H5Y8mDfm0=,17841413694138154,2022-08-08,audience_locale,es_LA,1,2022-08-08 10:43:18.919000+00:00
