,_fivetran_id,follower_counts_organic_follower_count,follower_counts_paid_follower_count,_organization_entity_urn,function_id,_fivetran_synced
0,HqqSi5UiyL5OoSy2XXJWwAN440I=,3,0,urn:li:organizationBrand:69569872,25,2022-08-08 10:42:37.934000+00:00
1,Pr87QnTP+mtib7fI3imUIaAuWdA=,3,0,urn:li:organizationBrand:69569872,7,2022-08-08 10:42:37.934000+00:00
2,gdeycKBbwCnH2uIjhG5c9wD9JGc=,10,0,urn:li:organizationBrand:69569872,12,2022-08-08 10:42:37.932000+00:00
3,ES/ajRZAfmwEpQjOMSgVMW7/Etg=,5,0,urn:li:organizationBrand:69569872,18,2022-08-08 10:42:37.933000+00:00
4,l/IHsaUuvpz2x9TfKc3Bq7Jouko=,1,0,urn:li:organization:78306774,14,2022-08-08 10:42:26.191000+00:00
5,CypNV4eDRuepANxunYrZhSD2Zkw=,288,0,urn:li:organization:11841037,8,2022-08-08 10:42:19.024000+00:00
6,26yQmKIGbw/Fcu9gHK2P6t2HdeA=,2,0,urn:li:organizationBrand:69569872,2,2022-08-08 10:42:37.935000+00:00
7,oFboN5NpgTRy9EBf6Gs0xlReeAQ=,40,0,urn:li:organization:11841037,7,2022-08-08 10:42:19.031000+00:00
8,ws1lO6fvrd+yDgoake1tpNO7Dl8=,33,0,urn:li:organization:11841037,1,2022-08-08 10:42:19.033000+00:00
9,5evfZ+JwQ1WNiOTbuj2VoajZllc=,5,0,urn:li:organization:11841037,9,2022-08-08 10:42:19.042000+00:00
10,OOBdbREL2y+Qenux9/H5idwhKuY=,41,0,urn:li:organization:11841037,10,2022-08-08 10:42:19.030000+00:00
11,GEeHQKxjUjPkeT9xMqMWy9nG/VY=,1,0,urn:li:organization:69569872,11,2022-08-08 10:42:06.074000+00:00
12,eJWMSGo1BIzUQs2g/43lxBrdgiI=,7,0,urn:li:organization:78306774,4,2022-08-08 10:42:26.188000+00:00
13,saeII/w9oQ5QPg30p2Plv4zjIbs=,30,0,urn:li:organization:11841037,6,2022-08-08 10:42:19.033000+00:00
14,BByKBYWcK58DF+BluvuXRkwqlrY=,10,0,urn:li:organization:69569872,12,2022-08-08 10:42:06.064000+00:00
15,JWWRmoQfYqG3IJalqVpyJHEoBy4=,8,0,urn:li:organization:78306774,18,2022-08-08 10:42:26.187000+00:00
16,W0su0xU9ECHNaTwcE4YyY5+sirA=,3,0,urn:li:organization:69569872,8,2022-08-08 10:42:06.071000+00:00
17,NI8jSYQWea4dT5FmXwOQIxCgxpo=,4,0,urn:li:organization:78306774,8,2022-08-08 10:42:26.188000+00:00
