,_fivetran_id,follower_counts_organic_follower_count,follower_counts_paid_follower_count,_organization_entity_urn,industry_id,_fivetran_synced
0,Z8ZiIF15A0TIDWk9qhXYTlua8Xw=,2,0,urn:li:organization:11841037,98,2022-08-08 10:42:18.926000+00:00
1,0wuAAZFd7yJrpuXX5LuSddBos2w=,1,0,urn:li:organizationBrand:69569872,69,2022-08-08 10:42:37.917000+00:00
2,YE1sj/joqvSl6uRjfl8VJAksVRU=,1,0,urn:li:organization:78306774,14,2022-08-08 10:42:26.176000+00:00
3,9Yl2+OGR7TNfm0tuG6rUZ3OqMEg=,4,0,urn:li:organization:11841037,133,2022-08-08 10:42:18.912000+00:00
4,b/4DseL6YUxENlUJlwI8FsQ5FpI=,4,0,urn:li:organization:11841037,74,2022-08-08 10:42:18.914000+00:00
5,wSelV014HR9oJ555YTS0aJ8sDXw=,1,0,urn:li:organization:69569872,90,2022-08-08 10:42:06.012000+00:00
6,3E8Mm6eWXv1xIkXK58sfGJtlJl8=,19,0,urn:li:organization:11841037,68,2022-08-08 10:42:18.878000+00:00
7,DqjwN52vhQv0Uc6PnYyNog85hGs=,14,0,urn:li:organization:11841037,5,2022-08-08 10:42:18.885000+00:00
8,OQ9x/ehHikunJadEptelUlb9Hdo=,1,0,urn:li:organization:69569872,70,2022-08-08 10:42:06.014000+00:00
9,sAAiBUTU6QOUKA7RTuHDTUwuhco=,1,0,urn:li:organizationBrand:69569872,8,2022-08-08 10:42:37.923000+00:00
10,8PRLZTlKHIJf+i2s9WVrlMLa0Bk=,2,0,urn:li:organization:78306774,130,2022-08-08 10:42:26.103000+00:00
11,9hWlVzA6eXyqp8f6YZmXuqDt5P4=,42,0,urn:li:organization:11841037,8,2022-08-08 10:42:18.870000+00:00
12,3DXgEWBr1GFVE/j8h3HXvRv/0sU=,28,0,urn:li:organization:11841037,23,2022-08-08 10:42:18.873000+00:00
13,pq8KiEBsLwh9khp0xz5NHmVgvJs=,2,0,urn:li:organization:69569872,43,2022-08-08 10:42:05.996000+00:00
14,A/c3d//mJrjwFIuGNg+rzTzfKU8=,1,0,urn:li:organization:69569872,45,2022-08-08 10:42:06+00:00
15,4nZpLyaaQWP8v05h/yYkGhDimwg=,1,0,urn:li:organization:69569872,8,2022-08-08 10:42:06.030000+00:00
16,4RZMtOVmk0n/FCDEO79aQfa0Jv8=,2,0,urn:li:organization:11841037,119,2022-08-08 10:42:18.924000+00:00
17,I4inPGOqBZb0P3cfCrvhZSzVHAE=,1,0,urn:li:organization:78306774,11,2022-08-08 10:42:26.174000+00:00
18,0iZ80B2kmgbtZibiGEegN9qT1f0=,65,0,urn:li:organization:11841037,11,2022-08-08 10:42:18.868000+00:00
19,JKD7nKxP6TpeUOSioHh9duJEToQ=,2,0,urn:li:organization:11841037,26,2022-08-08 10:42:18.930000+00:00
20,kfc2vU4mUmCVDrDN39PT9eHa5kQ=,13,0,urn:li:organization:11841037,105,2022-08-08 10:42:18.891000+00:00
21,qe14dME3ZN+Uhi2sZYBMUry1Sa8=,1,0,urn:li:organization:78306774,124,2022-08-08 10:42:26.176000+00:00
22,LGv92rY35qnpQ7kUneXNoP1dbmU=,2,0,urn:li:organization:69569872,80,2022-08-08 10:42:05.992000+00:00
23,C4yOGT5AzqDCSnB0i6PB5KkrGGg=,1,0,urn:li:organization:69569872,69,2022-08-08 10:42:06.004000+00:00
24,MUg9dMFcHUzAHrRcXDnGoAdjPx8=,4,0,urn:li:organization:11841037,147,2022-08-08 10:42:18.913000+00:00
25,Et1kE8e4a81zFO1gq9y+WJInJCc=,3,0,urn:li:organization:11841037,24,2022-08-08 10:42:18.918000+00:00
26,ML3WNd2Cub7k6PVC/N2kqGuyesA=,1,0,urn:li:organizationBrand:69569872,22,2022-08-08 10:42:37.915000+00:00
27,15Exqgbhbnx4f+5BXt+23nZLw6Q=,47,0,urn:li:organization:11841037,53,2022-08-08 10:42:18.869000+00:00
28,PN9iBsxvNh7JY7rNQjatJV0DHGo=,1,0,urn:li:organization:78306774,43,2022-08-08 10:42:26.178000+00:00
29,7MFNzPUpm8wNdym2w9JPIMzZyzA=,13,0,urn:li:organization:11841037,91,2022-08-08 10:42:18.888000+00:00
30,EKj433LdoOGkQpEbDmCqbp1RoqQ=,2,0,urn:li:organization:11841037,62,2022-08-08 10:42:18.935000+00:00
31,u/5mlXJXK4Oe9pmgzuII67CcERc=,21,0,urn:li:organization:11841037,84,2022-08-08 10:42:18.876000+00:00
32,Eayc8zH5KZVGBRia66Ru597wTWc=,6,0,urn:li:organization:11841037,134,2022-08-08 10:42:18.907000+00:00
33,kMd9RcAckzgTWWNjbUAJT1zgLlU=,6,0,urn:li:organization:11841037,113,2022-08-08 10:42:18.906000+00:00
34,44cK94pJCIZW3TRXBPX/6MsuHtg=,2,0,urn:li:organization:78306774,78,2022-08-08 10:42:26.104000+00:00
35,65TgOl7oX/nxI9RUz+eBKdUFUJc=,34,0,urn:li:organization:11841037,80,2022-08-08 10:42:18.871000+00:00
36,Bzhy9N1q2aAMGx3xqEh8cpV6wy4=,2,0,urn:li:organization:78306774,105,2022-08-08 10:42:26.106000+00:00
37,lKIUpBYgdN5G59LAom7C5sfjP8Q=,2,0,urn:li:organization:11841037,14,2022-08-08 10:42:18.928000+00:00
38,Zn4aYJGeciJH5hcUDS9C9Rz/czo=,21,0,urn:li:organization:11841037,135,2022-08-08 10:42:18.875000+00:00
39,Iz1cMP7K0CRSbXA3YHxkkpt6taM=,436,0,urn:li:organization:11841037,96,2022-08-08 10:42:18.865000+00:00
40,h2RWxrJeLewm7DJCf39oFSuSijQ=,2,0,urn:li:organization:78306774,100,2022-08-08 10:42:26.105000+00:00
41,bIROYT7IYjOYAnwz+4X6m8FjE0U=,2,0,urn:li:organizationBrand:69569872,42,2022-08-08 10:42:37.914000+00:00
42,H9sZDLx/1ll4je08Zw1wiNJaD44=,3,0,urn:li:organization:11841037,32,2022-08-08 10:42:18.919000+00:00
43,p1/OAPHe3F9grPzwhv/I6YzWWaA=,1,0,urn:li:organization:78306774,42,2022-08-08 10:42:26.177000+00:00
44,iV3XTZWNH+HL8Jdb/sKQtotBMhg=,14,0,urn:li:organization:11841037,44,2022-08-08 10:42:18.887000+00:00
45,oTP38gQpNcPV8Y4eYS4nceQsHHQ=,17,0,urn:li:organization:11841037,15,2022-08-08 10:42:18.881000+00:00
46,Zo0boXBGWNxXkTx4uRYZPYEAX9Q=,2,0,urn:li:organization:11841037,10,2022-08-08 10:42:18.926000+00:00
47,VhRH0w8XnHu4iNrg54v0sQZxZE4=,7,0,urn:li:organization:69569872,41,2022-08-08 10:42:05.977000+00:00
48,n0N/E/5JxrC88/tBxTlH+jXa+io=,7,0,urn:li:organizationBrand:69569872,41,2022-08-08 10:42:37.909000+00:00
