,_fivetran_id,follower_counts_organic_follower_count,follower_counts_paid_follower_count,_organization_entity_urn,region_id,_fivetran_synced
0,VC9jg6NVqdCfNFqSVSYlt5slv9Q=,1,0,urn:li:organizationBrand:69569872,928,2022-08-08 10:42:37.931000+00:00
1,fkMm5RlxTe4KzCAzvsmn1xH24qI=,1,0,urn:li:organization:11841037,9636,2022-08-08 10:42:19.002000+00:00
2,lAeysTN7AwPuczf3+hFWGUfsMRY=,94,0,urn:li:organization:11841037,9646,2022-08-08 10:42:18.945000+00:00
3,6AmwbqdJK8J/k2bYR24VIQUPJ/c=,25,0,urn:li:organization:11841037,9635,2022-08-08 10:42:18.948000+00:00
4,T1kHh7ftoO0rH7tn71xOtEfZNzk=,1,0,urn:li:organization:78306774,9604,2022-08-08 10:42:26.185000+00:00
5,cKRb6pvNxvWfTC2QlqJd+mDXULU=,9,0,urn:li:organization:11841037,9587,2022-08-08 10:42:18.953000+00:00
6,y/IrBju8hh4gzUUoeuBfZoBjtEY=,11,0,urn:li:organization:11841037,9593,2022-08-08 10:42:18.951000+00:00
7,NKPtfqAJsmW6dGEYzjCDPr4IXWs=,83,0,urn:li:organization:11841037,5227,2022-08-08 10:42:18.946000+00:00
8,DcFmBiBhAodN4xteX5KVC9BTNuw=,14,0,urn:li:organization:78306774,9619,2022-08-08 10:42:26.182000+00:00
9,mG2NP6CjCBdM08HP3Lee+9v5+aY=,1,0,urn:li:organization:78306774,4977,2022-08-08 10:42:26.186000+00:00
10,NBudTi5Gpk9QTvwp/aEuQ76Sgq4=,1,0,urn:li:organization:11841037,9358,2022-08-08 10:42:18.995000+00:00
11,WWGIpobOKojKbjh1srajPz6dw7A=,1,0,urn:li:organization:78306774,6879,2022-08-08 10:42:26.187000+00:00
12,yV0Bpy9ayDU+akDu5nGyMgKP3Xo=,15,0,urn:li:organization:11841037,9657,2022-08-08 10:42:18.949000+00:00
13,l/R18/8XEGtJ5VFG6SqJZwi0bZQ=,2,0,urn:li:organization:11841037,9876,2022-08-08 10:42:18.974000+00:00
14,EG1tasVxxRzao09+5kHJgrsYY14=,3,0,urn:li:organizationBrand:69569872,9619,2022-08-08 10:42:37.929000+00:00
15,9jIcAXHMJN97qCmIi6nwuASNp7E=,1,0,urn:li:organization:11841037,9633,2022-08-08 10:42:18.994000+00:00
16,hQqjv1fbPDQV9SvL0AFtFcmJKkM=,5,0,urn:li:organization:11841037,9655,2022-08-08 10:42:18.959000+00:00
17,7GXDJqEA4ZsmTdJlJPOQrIe9oxo=,1,0,urn:li:organization:69569872,9864,2022-08-08 10:42:06.053000+00:00
18,Ee3vWnHJ3BBC/AzoMo5aDWC0JM8=,3,0,urn:li:organization:11841037,7585,2022-08-08 10:42:18.967000+00:00
19,5SINC2XGRUIMT9LN58xSZ8h5HiQ=,476,0,urn:li:organization:11841037,9619,2022-08-08 10:42:18.945000+00:00
20,TT9gktkMXmskwBu3/PbL9XRe04w=,1,0,urn:li:organization:11841037,9597,2022-08-08 10:42:18.991000+00:00
21,dEKfIqN+OXTXLiabNV2LLT3LR64=,7,0,urn:li:organization:11841037,9604,2022-08-08 10:42:18.957000+00:00
22,HTBsFPZOhsh5r4GnWi2LFCIvoxI=,4,0,urn:li:organization:11841037,5216,2022-08-08 10:42:18.965000+00:00
23,ydPTk7L5zUu5tPRul0HhKl0Llq8=,1,0,urn:li:organization:11841037,4609,2022-08-08 10:42:18.987000+00:00
24,qy2Y52KBSw6IpC1UUUx+hU1JfL0=,1,0,urn:li:organizationBrand:69569872,9864,2022-08-08 10:42:37.930000+00:00
25,kxMkaecf+8JZ4XIXaTO4sxTIJ/I=,2,0,urn:li:organization:11841037,9640,2022-08-08 10:42:18.974000+00:00
26,OL9BIPNWBnnw5cX0hf8Qbtpt/Lo=,1,0,urn:li:organization:11841037,9615,2022-08-08 10:42:18.989000+00:00
27,bT8z0nodBeFYf3Xvu9U+RCDurco=,1,0,urn:li:organization:11841037,9856,2022-08-08 10:42:18.989000+00:00
28,Qgz6eFB2Y6xiz5bdCvFGDbc44UE=,1,0,urn:li:organization:11841037,4968,2022-08-08 10:42:18.990000+00:00
29,n8XDziGp5x5CJeU0AFJAEvFbfMo=,9,0,urn:li:organization:11841037,9610,2022-08-08 10:42:18.954000+00:00
30,sjPGO0SGgS3liqzEkFck7gwFuYo=,2,0,urn:li:organization:11841037,5237,2022-08-08 10:42:18.980000+00:00
31,kwE2fAG2+afXnfehheZ9pMkXRaA=,2,0,urn:li:organization:11841037,4966,2022-08-08 10:42:18.972000+00:00
32,kGor12j9E2TE9kDvRph7objDuQI=,2,0,urn:li:organization:11841037,9653,2022-08-08 10:42:18.978000+00:00
33,I0EL6kjMS+v87bo9snxjXwhkQTI=,1,0,urn:li:organization:11841037,4625,2022-08-08 10:42:19.004000+00:00
34,ZAv88I8KhfyLYRUooJ092Falb6w=,20,0,urn:li:organization:11841037,9617,2022-08-08 10:42:18.948000+00:00
35,F9UfZ9QsMlFp2A6LzHPK7d8Uzro=,3,0,urn:li:organization:69569872,9619,2022-08-08 10:42:06.050000+00:00
36,u5I8c7dvW9EFfzJr/Jk3lZiZ2Jc=,2,0,urn:li:organization:11841037,4932,2022-08-08 10:42:18.979000+00:00
37,HFKMU5kE4hTd4R3sAKgVvdkE4VA=,4,0,urn:li:organization:11841037,5211,2022-08-08 10:42:18.963000+00:00
38,oKORnIh+zBmD/kNEKLic7ZJ8qN0=,1,0,urn:li:organization:11841037,8829,2022-08-08 10:42:19.003000+00:00
39,hQX0510lAN75pCqlwSaAr5Y/5NE=,4,0,urn:li:organization:11841037,5205,2022-08-08 10:42:18.964000+00:00
40,7+1jhJx3HVdHuWFA/M3gjj5dvHI=,1,0,urn:li:organization:11841037,7588,2022-08-08 10:42:18.999000+00:00
41,a66RGIwqnTl/bi6s3XDoFHr/UaU=,1,0,urn:li:organization:11841037,9629,2022-08-08 10:42:18.997000+00:00
42,fHqUmigCJJhkFfUx8KA2Z0/S+YM=,1,0,urn:li:organization:11841037,5164,2022-08-08 10:42:18.998000+00:00
43,p/QWiqS87U965pQiKlAijreI9Lg=,1,0,urn:li:organization:11841037,5199,2022-08-08 10:42:19.012000+00:00
44,oxty5ERN6ZKtbmxFKMLRJsoo7XQ=,1,0,urn:li:organization:11841037,9623,2022-08-08 10:42:18.985000+00:00
45,BVdHBai6o74egdvyBzQc/klu0x0=,1,0,urn:li:organization:11841037,5186,2022-08-08 10:42:19.008000+00:00
46,ZqLa51ijeO0DnLt3qEPWwDdlFnQ=,1,0,urn:li:organization:11841037,5235,2022-08-08 10:42:19.014000+00:00
47,iEqdwYwjKKc3lmpCZNsug78jbmg=,2,0,urn:li:organization:11841037,5200,2022-08-08 10:42:18.976000+00:00
48,NZG0ABIsU7LJoRP4xxLbHCOE7yU=,5,0,urn:li:organization:11841037,5220,2022-08-08 10:42:18.960000+00:00
49,ObRLctiuQc4XO9gYTqn6zBVCYUE=,1,0,urn:li:organization:11841037,9638,2022-08-08 10:42:19.001000+00:00
50,0xcsPk+qtmOi+5vXLdhDndBepao=,2,0,urn:li:organization:11841037,9854,2022-08-08 10:42:18.981000+00:00
51,RLVx6gVLJm6leiFYNQQFAfa3K2U=,1,0,urn:li:organization:11841037,4929,2022-08-08 10:42:19.011000+00:00
52,fammPHLOsL5w9Uz0uxn0jStZbOM=,3,0,urn:li:organization:11841037,5210,2022-08-08 10:42:18.969000+00:00
53,8ysfSKNsYlBbORrPmegl8+jI0/c=,2,0,urn:li:organization:11841037,9647,2022-08-08 10:42:18.979000+00:00
54,MOV9U1quUz16XYLAMKQFP9NswHw=,1,0,urn:li:organization:11841037,6909,2022-08-08 10:42:18.988000+00:00
55,/hPPnpIJ66zpLt4vo3f7hPjvPwo=,1,0,urn:li:organization:11841037,9373,2022-08-08 10:42:19.006000+00:00
56,0ijf5KpjijsXb8mRqR9irvhJajc=,10,0,urn:li:organization:11841037,9602,2022-08-08 10:42:18.953000+00:00
57,xVNaCFhH7fGhZRUwbpE9UbRgXdA=,1,0,urn:li:organization:11841037,9621,2022-08-08 10:42:18.986000+00:00
58,5Od7hGQ9sJHIahhxzxbvUwqiMuc=,3,0,urn:li:organization:11841037,5712,2022-08-08 10:42:18.968000+00:00
59,j0EMZyDy9zjdFhKA2RlLSrNyzrk=,3,0,urn:li:organization:11841037,9608,2022-08-08 10:42:18.971000+00:00
60,NaXt7q0bIkD9rrgTaKogWEDHBBY=,4,0,urn:li:organization:11841037,4920,2022-08-08 10:42:18.965000+00:00
61,ByPxCwYasEAiWtKfslwQHuvUzB4=,1,0,urn:li:organization:69569872,9857,2022-08-08 10:42:06.055000+00:00
62,xATK24As6dcG43dk6Mtu71CSODg=,5,0,urn:li:organization:11841037,9603,2022-08-08 10:42:18.960000+00:00
63,R/J2Qh6nyso7u72m3oCwksQvWYk=,1,0,urn:li:organization:78306774,9595,2022-08-08 10:42:26.184000+00:00
64,8SX6xIeW5oVvbPJ3eukshCxjlX8=,1,0,urn:li:organization:11841037,70,2022-08-08 10:42:19.021000+00:00
65,aCprS6OubKrpZFmAb5PS+jOJ9qQ=,4,0,urn:li:organization:11841037,9628,2022-08-08 10:42:18.963000+00:00
66,Mrg6euPrC6Kh3Fa0ALqCCaQZELQ=,7,0,urn:li:organization:11841037,9862,2022-08-08 10:42:18.955000+00:00
67,Jc0Z2WNi5dNlAZ+MG3ZEYzEimHg=,1,0,urn:li:organization:11841037,7151,2022-08-08 10:42:19.023000+00:00
68,XfjBuEuDUHJue6y1Hz23CfvWPt4=,7,0,urn:li:organization:11841037,9626,2022-08-08 10:42:18.956000+00:00
69,bQ6HoncKYamiOrAxauFzTOZnj04=,1,0,urn:li:organization:11841037,8851,2022-08-08 10:42:19.010000+00:00
70,rvXSVQ5oM2ao7K88JmwCDxxxzvc=,2,0,urn:li:organization:11841037,4863,2022-08-08 10:42:18.977000+00:00
71,ozomynIyjhPgNrtxWNPnAdYwo+I=,1,0,urn:li:organization:69569872,6442,2022-08-08 10:42:06.052000+00:00
72,OV/4eMpIkuXIGqh3ufDnHRKQAcY=,2,0,urn:li:organization:11841037,9355,2022-08-08 10:42:18.973000+00:00
73,fM821LDHYu9JMnDTYyj48uyw7LU=,1,0,urn:li:organizationBrand:69569872,9857,2022-08-08 10:42:37.931000+00:00
74,vbyuZp3WPWueeUl8OGjDzIPR7MM=,13,0,urn:li:organization:11841037,9648,2022-08-08 10:42:18.950000+00:00
75,S0h8y6MAyPTJCEnVrf39Y9rCtyU=,1,0,urn:li:organization:11841037,9600,2022-08-08 10:42:19.019000+00:00
76,I9ljA9YiXj6blAg0LTY5OmUNQho=,1,0,urn:li:organization:11841037,9860,2022-08-08 10:42:18.983000+00:00
77,uH3LBA9Sc8TTWWhQQvuguGWQdas=,1,0,urn:li:organization:11841037,6046,2022-08-08 10:42:19.013000+00:00
