,_fivetran_id,follower_counts_organic_follower_count,follower_counts_paid_follower_count,_organization_entity_urn,seniority_id,_fivetran_synced
0,stIkHSiNO354GhPp+FO/dLEdLAs=,2,0,urn:li:organization:11841037,1,2022-08-08 10:42:18.944000+00:00
1,j/5cwrjYFUSt4MlOdgvQbnAasSM=,55,0,urn:li:organization:11841037,8,2022-08-08 10:42:18.941000+00:00
2,hOBf120t9guxWDkp9KNkR8ZozNI=,3,0,urn:li:organization:69569872,5,2022-08-08 10:42:06.043000+00:00
3,82AQc0DJ7j6Q7xwiLvyW7ZY1a8U=,1,0,urn:li:organization:69569872,2,2022-08-08 10:42:06.045000+00:00
4,2+5Ba0SGzTAJdGfC4G8jekj1EVA=,29,0,urn:li:organization:11841037,2,2022-08-08 10:42:18.942000+00:00
5,sZolEyOkdFR9u/ZpyaPVx7GDQec=,22,0,urn:li:organization:11841037,10,2022-08-08 10:42:18.943000+00:00
6,EclJU9Kuhy/5uZl0E3cYA5eg2To=,472,0,urn:li:organization:11841037,4,2022-08-08 10:42:18.939000+00:00
7,5nX57+nMcPqpFQ9kofB9OvqRgIg=,4,0,urn:li:organization:69569872,7,2022-08-08 10:42:06.041000+00:00
8,IS71/jtrq5PASWfK28vwQLGakfA=,560,0,urn:li:organization:11841037,3,2022-08-08 10:42:18.939000+00:00
9,HSJfe41n8kQzNedpuHNH8IkvXJM=,4,0,urn:li:organizationBrand:69569872,7,2022-08-08 10:42:37.926000+00:00
10,pc4JhTM7NzKg1ZUa1Qt+C3VzQv8=,4,0,urn:li:organization:69569872,8,2022-08-08 10:42:06.042000+00:00
11,2xvg09+ot6cxzXvvPGvDs3GccWg=,17,0,urn:li:organizationBrand:69569872,4,2022-08-08 10:42:37.925000+00:00
12,xWKyiVroA/PmSFEtlYnfyzS0ois=,48,0,urn:li:organization:11841037,7,2022-08-08 10:42:18.942000+00:00
13,iuoIPalnN90lPhCyfngF9h4Pwlw=,1,0,urn:li:organizationBrand:69569872,2,2022-08-08 10:42:37.929000+00:00
14,82b4x7zyJmd3mwxcCAynsd/QJUI=,2,0,urn:li:organization:69569872,10,2022-08-08 10:42:06.044000+00:00
15,o+yGX6qoz8qDoVzjC8Utl+TuKRw=,116,0,urn:li:organization:11841037,5,2022-08-08 10:42:18.941000+00:00
16,+EaOsyIpSeRdbvR1vQ0KpEL3GSY=,4,0,urn:li:organization:78306774,5,2022-08-08 10:42:26.180000+00:00
17,cxmeGasXjDPyA++imWS2lRF9KxI=,11,0,urn:li:organization:69569872,6,2022-08-08 10:42:06.038000+00:00
18,B16xfUCEJIY4cbjED3J8PltFCZc=,2,0,urn:li:organizationBrand:69569872,10,2022-08-08 10:42:37.928000+00:00
19,2wcrxp1M11IdztPCJv/HbvsuR5s=,4,0,urn:li:organizationBrand:69569872,8,2022-08-08 10:42:37.927000+00:00
20,RIaLjYM6Pfc5uk98BiKNDfGBrjM=,6,0,urn:li:organization:11841037,9,2022-08-08 10:42:18.943000+00:00
21,V/M9S572affMnbxtNXgODFpiTQs=,1,0,urn:li:organization:78306774,8,2022-08-08 10:42:26.181000+00:00
22,4SSSbH1rvznfpU+gCk7pzd5H7oo=,5,0,urn:li:organization:78306774,6,2022-08-08 10:42:26.179000+00:00
23,u1HreRsw1p2YjqmUsSO+hfMtwRQ=,1,0,urn:li:organization:78306774,10,2022-08-08 10:42:26.182000+00:00
24,WpSvvw1Ts6lSJz9Gjihl4KxWpNQ=,1,0,urn:li:organization:78306774,2,2022-08-08 10:42:26.180000+00:00
25,DaKZm/HfMtfVIXQdwU3X08Xkhuw=,17,0,urn:li:organization:69569872,4,2022-08-08 10:42:06.037000+00:00
26,k67XwEICdKyv3W7hvG0dWXFBV7I=,11,0,urn:li:organizationBrand:69569872,6,2022-08-08 10:42:37.925000+00:00
27,onBoRcmDNNKf5V62CYtifPDXGcU=,133,0,urn:li:organization:11841037,6,2022-08-08 10:42:18.940000+00:00
28,mBRhOOrYMQENyKX4bBfqwEmJb1w=,3,0,urn:li:organizationBrand:69569872,5,2022-08-08 10:42:37.928000+00:00
29,u/qvEbJ8dL120WJz9sFGACULKps=,11,0,urn:li:organization:78306774,4,2022-08-08 10:42:26.179000+00:00
30,2IdqibmGwmqSq6/jfT52673LeH8=,1,0,urn:li:organization:78306774,7,2022-08-08 10:42:26.181000+00:00
31,Ad2Ehcl7IkYNgPplyKmKEhgH+Bc=,8,0,urn:li:organizationBrand:69569872,3,2022-08-08 10:42:37.926000+00:00
32,iMVMoX/wX4w87453WcqD2ZBT9R0=,8,0,urn:li:organization:69569872,3,2022-08-08 10:42:06.040000+00:00
33,ktNZLewBa+LtxNfeyiHdneXiZmo=,16,0,urn:li:organization:78306774,3,2022-08-08 10:42:26.178000+00:00
