,id,name,_fivetran_synced
0,1,Accounting,2022-08-08 10:43:23.115000+00:00
1,2,Administrative,2022-08-08 10:43:23.115000+00:00
2,3,Arts and Design,2022-08-08 10:43:23.115000+00:00
3,4,Business Development,2022-08-08 10:43:23.115000+00:00
4,5,Community and Social Services,2022-08-08 10:43:23.115000+00:00
5,6,Consulting,2022-08-08 10:43:23.115000+00:00
6,7,Education,2022-08-08 10:43:23.115000+00:00
7,8,Engineering,2022-08-08 10:43:23.115000+00:00
8,9,Entrepreneurship,2022-08-08 10:43:23.115000+00:00
9,10,Finance,2022-08-08 10:43:23.115000+00:00
10,11,Healthcare Services,2022-08-08 10:43:23.115000+00:00
11,12,Human Resources,2022-08-08 10:43:23.115000+00:00
12,13,Information Technology,2022-08-08 10:43:23.115000+00:00
13,14,Legal,2022-08-08 10:43:23.115000+00:00
14,15,Marketing,2022-08-08 10:43:23.115000+00:00
15,16,Media and Communication,2022-08-08 10:43:23.115000+00:00
16,17,Military and Protective Services,2022-08-08 10:43:23.115000+00:00
17,18,Operations,2022-08-08 10:43:23.115000+00:00
18,19,Product Management,2022-08-08 10:43:23.115000+00:00
19,20,Program and Project Management,2022-08-08 10:43:23.115000+00:00
20,21,Purchasing,2022-08-08 10:43:23.115000+00:00
21,22,Quality Assurance,2022-08-08 10:43:23.115000+00:00
22,23,Real Estate,2022-08-08 10:43:23.115000+00:00
23,24,Research,2022-08-08 10:43:23.115000+00:00
24,25,Sales,2022-08-08 10:43:23.115000+00:00
25,26,Customer Success and Support,2022-08-08 10:43:23.115000+00:00
