,id,name,_fivetran_synced
0,1,Defense & Space,2022-08-08 10:43:22.023000+00:00
1,3,Computer Hardware,2022-08-08 10:43:22.023000+00:00
2,4,Computer Software,2022-08-08 10:43:22.023000+00:00
3,5,Computer Networking,2022-08-08 10:43:22.023000+00:00
4,6,Internet,2022-08-08 10:43:22.023000+00:00
5,7,Semiconductors,2022-08-08 10:43:22.023000+00:00
6,8,Telecommunications,2022-08-08 10:43:22.023000+00:00
7,9,Law Practice,2022-08-08 10:43:22.023000+00:00
8,10,Legal Services,2022-08-08 10:43:22.023000+00:00
9,11,Management Consulting,2022-08-08 10:43:22.023000+00:00
10,12,Biotechnology,2022-08-08 10:43:22.023000+00:00
11,13,Medical Practice,2022-08-08 10:43:22.023000+00:00
12,14,Hospital & Health Care,2022-08-08 10:43:22.023000+00:00
13,15,Pharmaceuticals,2022-08-08 10:43:22.023000+00:00
14,17,Medical Device,2022-08-08 10:43:22.023000+00:00
15,18,Cosmetics,2022-08-08 10:43:22.023000+00:00
16,19,Apparel & Fashion,2022-08-08 10:43:22.023000+00:00
17,20,Sporting Goods,2022-08-08 10:43:22.023000+00:00
18,22,Supermarkets,2022-08-08 10:43:22.023000+00:00
19,23,Food Production,2022-08-08 10:43:22.023000+00:00
20,24,Consumer Electronics,2022-08-08 10:43:22.023000+00:00
21,25,Consumer Goods,2022-08-08 10:43:22.023000+00:00
22,26,Furniture,2022-08-08 10:43:22.023000+00:00
23,27,Retail,2022-08-08 10:43:22.023000+00:00
24,28,Entertainment,2022-08-08 10:43:22.023000+00:00
25,30,"Leisure, Travel & Tourism",2022-08-08 10:43:22.023000+00:00
26,31,Hospitality,2022-08-08 10:43:22.023000+00:00
27,32,Restaurants,2022-08-08 10:43:22.023000+00:00
28,33,Sports,2022-08-08 10:43:22.023000+00:00
29,34,Food & Beverages,2022-08-08 10:43:22.023000+00:00
30,35,Motion Pictures & Film,2022-08-08 10:43:22.023000+00:00
31,36,Broadcast Media,2022-08-08 10:43:22.023000+00:00
32,41,Banking,2022-08-08 10:43:22.023000+00:00
33,42,Insurance,2022-08-08 10:43:22.023000+00:00
34,43,Financial Services,2022-08-08 10:43:22.023000+00:00
35,44,Real Estate,2022-08-08 10:43:22.023000+00:00
36,45,Investment Banking,2022-08-08 10:43:22.023000+00:00
37,46,Investment Management,2022-08-08 10:43:22.023000+00:00
38,47,Accounting,2022-08-08 10:43:22.023000+00:00
39,48,Construction,2022-08-08 10:43:22.023000+00:00
40,49,Building Materials,2022-08-08 10:43:22.023000+00:00
41,50,Architecture & Planning,2022-08-08 10:43:22.023000+00:00
42,51,Civil Engineering,2022-08-08 10:43:22.023000+00:00
43,52,Aviation & Aerospace,2022-08-08 10:43:22.023000+00:00
44,53,Automotive,2022-08-08 10:43:22.023000+00:00
45,54,Chemicals,2022-08-08 10:43:22.023000+00:00
46,55,Machinery,2022-08-08 10:43:22.023000+00:00
47,56,Mining & Metals,2022-08-08 10:43:22.023000+00:00
48,57,Oil & Energy,2022-08-08 10:43:22.023000+00:00
