,_fivetran_id,all_desktop_page_views,all_mobile_page_views,all_page_views,about_page_views,careers_page_views,products_page_views,jobs_page_views,people_page_views,overview_page_views,life_at_page_views,insights_page_views,mobile_careers_page_views,mobile_overview_page_views,mobile_jobs_page_views,mobile_life_at_page_views,mobile_insights_page_views,mobile_products_page_views,mobile_about_page_views,mobile_people_page_views,desktop_insights_page_views,desktop_careers_page_views,desktop_life_at_page_views,desktop_jobs_page_views,desktop_people_page_views,desktop_about_page_views,desktop_overview_page_views,desktop_products_page_views,_organization_entity_urn,country_id,_fivetran_synced
0,Ww+m+xboc5GreZkzVp9xoqu6drU=,2,0,2,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,urn:li:organization:69569872,ne,2022-08-08 10:42:44.335000+00:00
1,hrfDyLFvjuWdry5z2XJtxNsB3bE=,25,27,52,5.0,0.0,0.0,0.0,11.0,36,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,24,0.0,urn:li:organization:11841037,gb,2022-08-08 10:42:51.905000+00:00
2,AY45Lp4PewnTjDUfwiKggVy1N8Y=,1,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,urn:li:organization:11841037,mx,2022-08-08 10:42:51.917000+00:00
3,wdmr0ObHvPY51Nc6XM5oY3ADKaI=,0,3,3,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:11841037,rs,2022-08-08 10:42:51.923000+00:00
4,/RWT8jFJF8MQZS34eGG14xVCt3k=,1,0,1,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,urn:li:organization:69569872,ca,2022-08-08 10:42:44.330000+00:00
5,tzNvnDxyBAS3Nh64K5orqIieVRs=,3,0,3,0.0,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,urn:li:organization:11841037,pt,2022-08-08 10:42:51.922000+00:00
6,t7CmLLtvgm2N92tIMbJ7ljHaurI=,16,0,16,7.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9,0.0,urn:li:organization:86734408,ma,2022-08-08 10:42:48.269000+00:00
7,Fx+fG++d86cndEUPrHkNQMJBoHs=,0,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:11841037,ml,2022-08-08 10:42:51.916000+00:00
8,oOdRQSmt0SAsHEQdUTP8jKWC+AM=,11,0,11,5.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6,0.0,urn:li:organization:11841037,ph,2022-08-08 10:42:51.922000+00:00
9,tqeA7l4CV26HeB+yX3payrgyn2Y=,0,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:11841037,hk,2022-08-08 10:42:51.906000+00:00
