,_fivetran_id,all_desktop_page_views,all_mobile_page_views,all_page_views,about_page_views,careers_page_views,products_page_views,jobs_page_views,people_page_views,overview_page_views,life_at_page_views,insights_page_views,mobile_careers_page_views,mobile_overview_page_views,mobile_jobs_page_views,mobile_life_at_page_views,mobile_insights_page_views,mobile_products_page_views,mobile_about_page_views,mobile_people_page_views,desktop_insights_page_views,desktop_careers_page_views,desktop_life_at_page_views,desktop_jobs_page_views,desktop_people_page_views,desktop_about_page_views,desktop_overview_page_views,desktop_products_page_views,_organization_entity_urn,function_id,_fivetran_synced
0,HqqSi5UiyL5OoSy2XXJWwAN440I=,2,3,5,,,,,,5,,,,3,,,,,,,,,,,,,2,,urn:li:organizationBrand:69569872,25,2022-08-08 10:43:02.551000+00:00
1,4g4ngHCoJ1iYflfL5lN4Zh04C64=,16,0,16,7.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9,0.0,urn:li:organization:86734408,15,2022-08-08 10:42:48.268000+00:00
2,CypNV4eDRuepANxunYrZhSD2Zkw=,94,364,458,116.0,17.0,0.0,17.0,65.0,260,0.0,0.0,8.0,200,8.0,0.0,0.0,0.0,106.0,50.0,0.0,9.0,0.0,9.0,15.0,10.0,60,0.0,urn:li:organization:11841037,8,2022-08-08 10:42:51.873000+00:00
3,oFboN5NpgTRy9EBf6Gs0xlReeAQ=,36,76,112,26.0,7.0,0.0,7.0,2.0,77,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,23.0,0.0,0.0,7.0,0.0,7.0,2.0,3.0,24,0.0,urn:li:organization:11841037,7,2022-08-08 10:42:51.872000+00:00
4,ws1lO6fvrd+yDgoake1tpNO7Dl8=,3,19,22,6.0,1.0,0.0,1.0,0.0,15,0.0,0.0,1.0,13,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,urn:li:organization:11841037,1,2022-08-08 10:42:51.869000+00:00
5,5evfZ+JwQ1WNiOTbuj2VoajZllc=,15,7,22,3.0,0.0,0.0,0.0,2.0,17,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,12,0.0,urn:li:organization:11841037,9,2022-08-08 10:42:51.873000+00:00
6,OOBdbREL2y+Qenux9/H5idwhKuY=,3,32,35,7.0,0.0,0.0,0.0,12.0,16,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,urn:li:organization:11841037,10,2022-08-08 10:42:51.874000+00:00
7,eJWMSGo1BIzUQs2g/43lxBrdgiI=,0,71,71,21.0,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:78306774,4,2022-08-08 10:42:55.598000+00:00
8,saeII/w9oQ5QPg30p2Plv4zjIbs=,6,34,40,10.0,0.0,0.0,0.0,2.0,28,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,urn:li:organization:11841037,6,2022-08-08 10:42:51.872000+00:00
9,JWWRmoQfYqG3IJalqVpyJHEoBy4=,0,10,10,4.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:78306774,18,2022-08-08 10:42:55.601000+00:00
10,W0su0xU9ECHNaTwcE4YyY5+sirA=,1,4,5,1.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,urn:li:organization:69569872,8,2022-08-08 10:42:44.324000+00:00
11,xno0ogE1MV5vLIXG63DGPJ6xvYM=,1,0,1,,,,,,1,,,,0,,,,,,,,,,,,,1,,urn:li:organizationBrand:69569872,15,2022-08-08 10:43:02.550000+00:00
12,NI8jSYQWea4dT5FmXwOQIxCgxpo=,5,5,10,3.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3,0.0,urn:li:organization:78306774,8,2022-08-08 10:42:55.600000+00:00
13,mhPOLEAh1bIR/9OqsuhSXxUpQ98=,1,4,5,,,,,,5,,,,4,,,,,,,,,,,,,1,,urn:li:organizationBrand:69569872,4,2022-08-08 10:43:02.548000+00:00
14,w06mCUFQzBobUMuIr2wXxq2AIuU=,0,13,13,4.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:78306774,24,2022-08-08 10:42:55.603000+00:00
15,FvSj3p2Y5J0E7eX5tAEY0ofhn6Q=,2,5,7,2.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,urn:li:organization:69569872,4,2022-08-08 10:42:44.323000+00:00
16,UrXQKsPh0g/5c4to7rMfpj8KPRk=,0,4,4,,,,,,4,,,,4,,,,,,,,,,,,,0,,urn:li:organizationBrand:69569872,20,2022-08-08 10:43:02.551000+00:00
17,eWDz2sSkNXZvKfnYg7jw9DX1Cl4=,8,3,11,1.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0.0,urn:li:organization:78306774,15,2022-08-08 10:42:55.601000+00:00
18,15nObiZsIgDDaUKLCAeZBgFWdXw=,5,11,16,2.0,1.0,0.0,1.0,0.0,13,0.0,0.0,1.0,8,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,urn:li:organization:11841037,26,2022-08-08 10:42:51.884000+00:00
19,MdDJVP6B7L+C1uArWe71j9JsGms=,0,11,11,5.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:78306774,13,2022-08-08 10:42:55.600000+00:00
20,9p6AIRrzHvFkzxH+slwAG+KYn+A=,1,3,4,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,urn:li:organization:11841037,23,2022-08-08 10:42:51.882000+00:00
21,IY7SKnE9nX4jX538jMB1XZX3q34=,0,18,18,4.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:78306774,25,2022-08-08 10:42:55.603000+00:00
22,vr53UcxbxD2gkMmJhI+pg7WgPpk=,40,86,126,25.0,4.0,0.0,4.0,17.0,80,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,21.0,14.0,0.0,4.0,0.0,4.0,3.0,4.0,29,0.0,urn:li:organization:11841037,18,2022-08-08 10:42:51.877000+00:00
23,RLaJ3tnRTVenRgYPYG2cXXaR2yw=,0,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:69569872,19,2022-08-08 10:42:44.325000+00:00
24,6tN1XH59OTdZaWhB51sPLqZ2wys=,70,56,126,21.0,1.0,0.0,1.0,10.0,94,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,13.0,3.0,0.0,1.0,0.0,1.0,7.0,8.0,54,0.0,urn:li:organization:11841037,25,2022-08-08 10:42:51.883000+00:00
25,VwOD9/+D0Or8AqPh+wihypNbzFQ=,2,6,8,3.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,urn:li:organization:69569872,25,2022-08-08 10:42:44.327000+00:00
26,F+2caEdeft2hUfopMXqcnsbSNQs=,0,3,3,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:78306774,6,2022-08-08 10:42:55.599000+00:00
27,WAe2ynPizjKXW/f2F3PGhw8hgCc=,0,6,6,2.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:69569872,20,2022-08-08 10:42:44.326000+00:00
28,e1iysmQkXUAGiECO3jaPOdTe8c8=,15,17,32,8.0,1.0,0.0,1.0,0.0,23,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,11,0.0,urn:li:organization:78306774,3,2022-08-08 10:42:55.597000+00:00
29,rlaV/n/lQr1cjKsVieCA9ckc6RM=,8,0,8,0.0,1.0,0.0,1.0,1.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6,0.0,urn:li:organization:11841037,16,2022-08-08 10:42:51.876000+00:00
30,ISXIDKV3I2WUIVU6wR4kazk//+E=,38,114,152,40.0,3.0,0.0,3.0,12.0,97,0.0,0.0,1.0,72,1.0,0.0,0.0,0.0,34.0,7.0,0.0,2.0,0.0,2.0,5.0,6.0,25,0.0,urn:li:organization:11841037,20,2022-08-08 10:42:51.879000+00:00
31,wBMYcpmZ7MgO24ftRhsOjWgUoDM=,1,3,4,,,,,,4,,,,3,,,,,,,,,,,,,1,,urn:li:organizationBrand:69569872,8,2022-08-08 10:43:02.549000+00:00
32,SveEvUOz3qIPocgSC8ibYxoTvxU=,2,0,2,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,urn:li:organization:69569872,15,2022-08-08 10:42:44.325000+00:00
33,jLXOd7mxL7Ws2vEQcNeeDyD1rVs=,0,1,1,,,,,,1,,,,1,,,,,,,,,,,,,0,,urn:li:organizationBrand:69569872,19,2022-08-08 10:43:02.550000+00:00
34,EjjocJgjLiEigNRWln+u56Mhf9k=,185,165,350,80.0,6.0,0.0,6.0,44.0,218,0.0,2.0,0.0,99,0.0,0.0,0.0,0.0,45.0,21.0,2.0,6.0,0.0,6.0,23.0,35.0,119,0.0,urn:li:organization:11841037,4,2022-08-08 10:42:51.871000+00:00
35,JtRJE9rnzxPROrEoxk2oBYx/UWk=,22,15,37,10.0,2.0,0.0,2.0,5.0,20,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,5.0,5.0,10,0.0,urn:li:organization:11841037,24,2022-08-08 10:42:51.882000+00:00
36,HwAbPuQ7/D1tMFOTD3rK8kOPiKs=,350,48,398,10.0,1.0,0.0,1.0,1.0,386,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,341,0.0,urn:li:organization:11841037,15,2022-08-08 10:42:51.876000+00:00
37,ii0ftXXKNxgKFwgSz+gDal/XJBo=,4,0,4,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,urn:li:organization:11841037,11,2022-08-08 10:42:51.874000+00:00
38,w/tex1FObl9N+inKZgsQtKnxm5o=,15,23,38,9.0,3.0,0.0,3.0,5.0,21,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,0.0,3.0,2.0,3.0,7,0.0,urn:li:organization:11841037,3,2022-08-08 10:42:51.870000+00:00
39,HQBqJSdduy1utJKSCkYIYSSah+k=,3,13,16,2.0,3.0,0.0,3.0,3.0,8,0.0,0.0,2.0,7,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,urn:li:organization:11841037,22,2022-08-08 10:42:51.881000+00:00
40,ey0UU3cF7qz+fmrlXsqSNizVpj0=,4,0,4,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,urn:li:organization:78306774,5,2022-08-08 10:42:55.598000+00:00
41,f6VQGqtWHoPxZJvwrkJxKqKTec0=,0,11,11,2.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:78306774,7,2022-08-08 10:42:55.599000+00:00
42,k1vFh2Yp1/7VWVRZtIPjPhGgggE=,4,16,20,7.0,0.0,0.0,0.0,3.0,10,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,urn:li:organization:11841037,5,2022-08-08 10:42:51.871000+00:00
