,_fivetran_id,all_desktop_page_views,all_mobile_page_views,all_page_views,about_page_views,careers_page_views,products_page_views,jobs_page_views,people_page_views,overview_page_views,life_at_page_views,insights_page_views,mobile_careers_page_views,mobile_overview_page_views,mobile_jobs_page_views,mobile_life_at_page_views,mobile_insights_page_views,mobile_products_page_views,mobile_about_page_views,mobile_people_page_views,desktop_insights_page_views,desktop_careers_page_views,desktop_life_at_page_views,desktop_jobs_page_views,desktop_people_page_views,desktop_about_page_views,desktop_overview_page_views,desktop_products_page_views,_organization_entity_urn,industry_id,_fivetran_synced
0,Z8ZiIF15A0TIDWk9qhXYTlua8Xw=,1,1,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,urn:li:organization:11841037,98,2022-08-08 10:42:51.783000+00:00
1,O4ZZjH0UUXkMsoBzcHiY9oJi6nM=,1,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,urn:li:organization:11841037,93,2022-08-08 10:42:51.781000+00:00
2,wBubVQIqJhWiy0vyswFSJoM9x3k=,2,0,2,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,urn:li:organization:11841037,114,2022-08-08 10:42:51.789000+00:00
3,3E8Mm6eWXv1xIkXK58sfGJtlJl8=,45,28,73,12.0,5.0,0.0,5.0,8.0,48,0.0,0.0,1.0,21,1.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,4.0,8.0,6.0,27,0.0,urn:li:organization:11841037,68,2022-08-08 10:42:51.775000+00:00
4,DqjwN52vhQv0Uc6PnYyNog85hGs=,5,10,15,3.0,1.0,0.0,1.0,5.0,6,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,3,0.0,urn:li:organization:11841037,5,2022-08-08 10:42:51.747000+00:00
5,sAAiBUTU6QOUKA7RTuHDTUwuhco=,0,1,1,,,,,,1,,,,1,,,,,,,,,,,,,0,,urn:li:organizationBrand:69569872,8,2022-08-08 10:43:02.540000+00:00
6,8PRLZTlKHIJf+i2s9WVrlMLa0Bk=,5,0,5,2.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3,0.0,urn:li:organization:78306774,130,2022-08-08 10:42:55.589000+00:00
7,9hWlVzA6eXyqp8f6YZmXuqDt5P4=,12,23,35,9.0,4.0,0.0,4.0,4.0,18,0.0,0.0,2.0,12,2.0,0.0,0.0,0.0,7.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,6,0.0,urn:li:organization:11841037,8,2022-08-08 10:42:51.749000+00:00
8,3DXgEWBr1GFVE/j8h3HXvRv/0sU=,1,3,4,2.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,urn:li:organization:11841037,23,2022-08-08 10:42:51.758000+00:00
9,9wAPkvwaxBZbKo5bvpiyuRQ0/cQ=,2,0,2,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,urn:li:organization:11841037,108,2022-08-08 10:42:51.787000+00:00
10,4nZpLyaaQWP8v05h/yYkGhDimwg=,0,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:69569872,8,2022-08-08 10:42:44.299000+00:00
11,An6vCQSL/7xPW0vKFFpfUaHKv6Y=,0,5,5,2.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:78306774,48,2022-08-08 10:42:55.583000+00:00
