,_fivetran_id,all_desktop_page_views,all_mobile_page_views,all_page_views,about_page_views,careers_page_views,products_page_views,jobs_page_views,people_page_views,overview_page_views,life_at_page_views,insights_page_views,mobile_careers_page_views,mobile_overview_page_views,mobile_jobs_page_views,mobile_life_at_page_views,mobile_insights_page_views,mobile_products_page_views,mobile_about_page_views,mobile_people_page_views,desktop_insights_page_views,desktop_careers_page_views,desktop_life_at_page_views,desktop_jobs_page_views,desktop_people_page_views,desktop_about_page_views,desktop_overview_page_views,desktop_products_page_views,_organization_entity_urn,region_id,_fivetran_synced
0,2a0pCyuX43cq0KUYWumsa42838Y=,0,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:78306774,9657,2022-08-08 10:42:55.596000+00:00
1,FPBZCtF5g85KD+Hno+ut4zCZM58=,3,1,4,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,urn:li:organization:11841037,7,2022-08-08 10:42:51.810000+00:00
2,lAeysTN7AwPuczf3+hFWGUfsMRY=,42,96,138,27.0,8.0,0.0,8.0,20.0,83,0.0,0.0,1.0,60,1.0,0.0,0.0,0.0,23.0,12.0,0.0,7.0,0.0,7.0,8.0,4.0,23,0.0,urn:li:organization:11841037,9646,2022-08-08 10:42:51.865000+00:00
3,JitA09IOhea2y/ojffvsQB+KZcw=,0,2,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:11841037,9583,2022-08-08 10:42:51.850000+00:00
4,6AmwbqdJK8J/k2bYR24VIQUPJ/c=,6,40,46,16.0,1.0,0.0,1.0,2.0,27,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4,0.0,urn:li:organization:11841037,9635,2022-08-08 10:42:51.862000+00:00
5,cKRb6pvNxvWfTC2QlqJd+mDXULU=,0,4,4,1.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:11841037,9587,2022-08-08 10:42:51.851000+00:00
6,H2dAAuRYH1gDZKq53hEqIVh3Yj8=,0,3,3,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:11841037,6115,2022-08-08 10:42:51.839000+00:00
7,GDm93FeallfWx3kKqDujnu+p30k=,0,2,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:11841037,8931,2022-08-08 10:42:51.845000+00:00
8,y/IrBju8hh4gzUUoeuBfZoBjtEY=,16,195,211,48.0,2.0,0.0,2.0,40.0,121,0.0,0.0,0.0,108,0.0,0.0,0.0,0.0,47.0,40.0,0.0,2.0,0.0,2.0,0.0,1.0,13,0.0,urn:li:organization:11841037,9593,2022-08-08 10:42:51.852000+00:00
9,NKPtfqAJsmW6dGEYzjCDPr4IXWs=,181,117,298,39.0,3.0,0.0,3.0,29.0,227,0.0,0.0,0.0,77,0.0,0.0,0.0,0.0,28.0,12.0,0.0,3.0,0.0,3.0,17.0,11.0,150,0.0,urn:li:organization:11841037,5227,2022-08-08 10:42:51.833000+00:00
10,DcFmBiBhAodN4xteX5KVC9BTNuw=,22,67,89,23.0,0.0,0.0,0.0,0.0,66,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18,0.0,urn:li:organization:78306774,9619,2022-08-08 10:42:55.595000+00:00
