,_fivetran_id,all_desktop_page_views,all_mobile_page_views,all_page_views,about_page_views,careers_page_views,products_page_views,jobs_page_views,people_page_views,overview_page_views,life_at_page_views,insights_page_views,mobile_careers_page_views,mobile_overview_page_views,mobile_jobs_page_views,mobile_life_at_page_views,mobile_insights_page_views,mobile_products_page_views,mobile_about_page_views,mobile_people_page_views,desktop_insights_page_views,desktop_careers_page_views,desktop_life_at_page_views,desktop_jobs_page_views,desktop_people_page_views,desktop_about_page_views,desktop_overview_page_views,desktop_products_page_views,_organization_entity_urn,seniority_id,_fivetran_synced
0,stIkHSiNO354GhPp+FO/dLEdLAs=,9,0,9,3.0,1.0,0.0,1.0,2.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,3,0.0,urn:li:organization:11841037,1,2022-08-08 10:42:51.803000+00:00
1,j/5cwrjYFUSt4MlOdgvQbnAasSM=,33,46,79,18.0,0.0,0.0,0.0,5.0,56,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,29,0.0,urn:li:organization:11841037,8,2022-08-08 10:42:51.807000+00:00
2,2+5Ba0SGzTAJdGfC4G8jekj1EVA=,34,110,144,43.0,8.0,0.0,8.0,1.0,92,0.0,0.0,1.0,68,1.0,0.0,0.0,0.0,41.0,0.0,0.0,7.0,0.0,7.0,1.0,2.0,24,0.0,urn:li:organization:11841037,2,2022-08-08 10:42:51.804000+00:00
3,sZolEyOkdFR9u/ZpyaPVx7GDQec=,40,48,88,20.0,1.0,0.0,1.0,8.0,58,0.0,1.0,0.0,30,0.0,0.0,0.0,0.0,11.0,7.0,1.0,1.0,0.0,1.0,1.0,9.0,28,0.0,urn:li:organization:11841037,10,2022-08-08 10:42:51.809000+00:00
4,EclJU9Kuhy/5uZl0E3cYA5eg2To=,556,568,1124,208.0,13.0,0.0,13.0,82.0,820,0.0,1.0,5.0,358,5.0,0.0,0.0,0.0,168.0,37.0,1.0,8.0,0.0,8.0,45.0,40.0,462,0.0,urn:li:organization:11841037,4,2022-08-08 10:42:51.805000+00:00
5,5nX57+nMcPqpFQ9kofB9OvqRgIg=,1,0,1,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,urn:li:organization:69569872,7,2022-08-08 10:42:44.313000+00:00
6,IS71/jtrq5PASWfK28vwQLGakfA=,263,566,829,179.0,32.0,0.0,32.0,113.0,503,0.0,2.0,12.0,316,12.0,0.0,2.0,0.0,152.0,84.0,0.0,20.0,0.0,20.0,29.0,27.0,187,0.0,urn:li:organization:11841037,3,2022-08-08 10:42:51.804000+00:00
7,pc4JhTM7NzKg1ZUa1Qt+C3VzQv8=,0,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:69569872,8,2022-08-08 10:42:44.313000+00:00
8,2xvg09+ot6cxzXvvPGvDs3GccWg=,2,7,9,,,,,,9,,,,7,,,,,,,,,,,,,2,,urn:li:organizationBrand:69569872,4,2022-08-08 10:43:02.545000+00:00
9,xWKyiVroA/PmSFEtlYnfyzS0ois=,10,39,49,12.0,0.0,0.0,0.0,7.0,30,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,8,0.0,urn:li:organization:11841037,7,2022-08-08 10:42:51.806000+00:00
10,Iu0cY+4MxCKJuMfhodC1xnDvpfc=,16,0,16,7.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9,0.0,urn:li:organization:86734408,4,2022-08-08 10:42:48.267000+00:00
11,o+yGX6qoz8qDoVzjC8Utl+TuKRw=,31,30,61,17.0,5.0,0.0,5.0,2.0,37,0.0,0.0,1.0,21,1.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,4.0,2.0,9.0,16,0.0,urn:li:organization:11841037,5,2022-08-08 10:42:51.805000+00:00
12,+EaOsyIpSeRdbvR1vQ0KpEL3GSY=,0,12,12,3.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:78306774,5,2022-08-08 10:42:55.591000+00:00
13,cxmeGasXjDPyA++imWS2lRF9KxI=,2,1,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,urn:li:organization:69569872,6,2022-08-08 10:42:44.312000+00:00
14,2wcrxp1M11IdztPCJv/HbvsuR5s=,0,1,1,,,,,,1,,,,1,,,,,,,,,,,,,0,,urn:li:organizationBrand:69569872,8,2022-08-08 10:43:02.546000+00:00
15,RIaLjYM6Pfc5uk98BiKNDfGBrjM=,18,12,30,6.0,0.0,0.0,0.0,2.0,22,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14,0.0,urn:li:organization:11841037,9,2022-08-08 10:42:51.808000+00:00
16,V/M9S572affMnbxtNXgODFpiTQs=,0,68,68,20.0,0.0,0.0,0.0,0.0,48,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:78306774,8,2022-08-08 10:42:55.592000+00:00
17,4SSSbH1rvznfpU+gCk7pzd5H7oo=,0,7,7,4.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,urn:li:organization:78306774,6,2022-08-08 10:42:55.591000+00:00
18,u1HreRsw1p2YjqmUsSO+hfMtwRQ=,11,12,23,5.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9,0.0,urn:li:organization:78306774,10,2022-08-08 10:42:55.592000+00:00
19,WpSvvw1Ts6lSJz9Gjihl4KxWpNQ=,1,1,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,urn:li:organization:78306774,2,2022-08-08 10:42:55.589000+00:00
20,DaKZm/HfMtfVIXQdwU3X08Xkhuw=,2,10,12,3.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,urn:li:organization:69569872,4,2022-08-08 10:42:44.311000+00:00
21,k67XwEICdKyv3W7hvG0dWXFBV7I=,2,1,3,,,,,,3,,,,1,,,,,,,,,,,,,2,,urn:li:organizationBrand:69569872,6,2022-08-08 10:43:02.546000+00:00
22,onBoRcmDNNKf5V62CYtifPDXGcU=,48,68,116,16.0,3.0,0.0,3.0,12.0,85,0.0,0.0,2.0,44,2.0,0.0,0.0,0.0,11.0,11.0,0.0,1.0,0.0,1.0,1.0,5.0,41,0.0,urn:li:organization:11841037,6,2022-08-08 10:42:51.806000+00:00
23,u/qvEbJ8dL120WJz9sFGACULKps=,11,60,71,17.0,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9,0.0,urn:li:organization:78306774,4,2022-08-08 10:42:55.590000+00:00
24,Ad2Ehcl7IkYNgPplyKmKEhgH+Bc=,1,6,7,,,,,,7,,,,6,,,,,,,,,,,,,1,,urn:li:organizationBrand:69569872,3,2022-08-08 10:43:02.545000+00:00
25,iMVMoX/wX4w87453WcqD2ZBT9R0=,2,10,12,5.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,urn:li:organization:69569872,3,2022-08-08 10:42:44.310000+00:00
26,ktNZLewBa+LtxNfeyiHdneXiZmo=,11,8,19,6.0,1.0,0.0,1.0,0.0,12,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,7,0.0,urn:li:organization:78306774,3,2022-08-08 10:42:55.590000+00:00
