,id,country,name,_fivetran_synced
0,7,urn:li:country:us,Greater Boston Area,2022-08-08 10:43:22.166000+00:00
1,31,urn:li:country:us,Dallas/Fort Worth Area,2022-08-08 10:43:22.166000+00:00
2,49,urn:li:country:us,Greater Los Angeles Area,2022-08-08 10:43:22.166000+00:00
3,70,urn:li:country:us,Greater New York City Area,2022-08-08 10:43:22.306000+00:00
4,84,urn:li:country:us,San Francisco Bay Area,2022-08-08 10:43:22.306000+00:00
5,91,urn:li:country:us,Greater Seattle Area,2022-08-08 10:43:22.306000+00:00
6,97,urn:li:country:us,Washington D.C. Metro Area,2022-08-08 10:43:22.306000+00:00
7,202,urn:li:country:us,"Daytona Beach, Florida Area",2022-08-08 10:43:22.706000+00:00
8,928,urn:li:country:us,"York, Pennsylvania Area",2022-08-08 10:43:22.572000+00:00
9,4573,urn:li:country:gb,"London, United Kingdom",2022-08-08 10:43:22.706000+00:00
10,4580,urn:li:country:gb,"Gloucester, United Kingdom",2022-08-08 10:43:22.706000+00:00
11,4586,urn:li:country:gb,"Hemel Hempstead, United Kingdom",2022-08-08 10:43:22.706000+00:00
12,4609,urn:li:country:gb,"Rochester, United Kingdom",2022-08-08 10:43:22.166000+00:00
13,4613,urn:li:country:gb,"Nottingham, United Kingdom",2022-08-08 10:43:22.166000+00:00
14,4614,urn:li:country:gb,"Northampton, United Kingdom",2022-08-08 10:43:22.166000+00:00
15,4620,urn:li:country:gb,"Peterborough, United Kingdom",2022-08-08 10:43:22.166000+00:00
16,4625,urn:li:country:gb,"Reading, United Kingdom",2022-08-08 10:43:22.166000+00:00
17,4629,urn:li:country:gb,"Swansea, United Kingdom",2022-08-08 10:43:22.166000+00:00
18,4863,urn:li:country:ca,"Montreal, Canada Area",2022-08-08 10:43:22.848000+00:00
19,4875,urn:li:country:ca,"Quebec, Canada",2022-08-08 10:43:22.166000+00:00
20,4876,urn:li:country:ca,"Toronto, Canada Area",2022-08-08 10:43:22.166000+00:00
21,4880,urn:li:country:ca,"Vancouver, Canada Area",2022-08-08 10:43:22.166000+00:00
22,4886,urn:li:country:au,"Adelaide, Australia",2022-08-08 10:43:22.166000+00:00
23,4905,urn:li:country:au,"Perth, Australia",2022-08-08 10:43:22.166000+00:00
24,4909,urn:li:country:au,"Brisbane, Australia",2022-08-08 10:43:22.166000+00:00
25,4910,urn:li:country:au,"Sydney, Australia",2022-08-08 10:43:22.166000+00:00
26,4918,urn:li:country:be,"Antwerp Area, Belgium",2022-08-08 10:43:22.306000+00:00
27,4920,urn:li:country:be,"Brussels Area, Belgium",2022-08-08 10:43:22.306000+00:00
28,4929,urn:li:country:ch,"Bern Area, Switzerland",2022-08-08 10:43:22.306000+00:00
29,4930,urn:li:country:ch,"Geneva Area, Switzerland",2022-08-08 10:43:22.306000+00:00
30,4932,urn:li:country:ch,"Lausanne Area, Switzerland",2022-08-08 10:43:22.306000+00:00
31,4944,urn:li:country:de,"Berlin Area, Germany",2022-08-08 10:43:22.306000+00:00
32,4966,urn:li:country:de,"Frankfurt Am Main Area, Germany",2022-08-08 10:43:22.306000+00:00
33,4968,urn:li:country:de,"Freiburg Area, Germany",2022-08-08 10:43:22.306000+00:00
34,4976,urn:li:country:de,"Halle-Neustadt Area, Germany",2022-08-08 10:43:22.444000+00:00
35,4977,urn:li:country:de,"Hamburg Area, Germany",2022-08-08 10:43:22.444000+00:00
