,_fivetran_id,engagement,share_count,click_count,like_count,impression_count,comment_count,_organization_entity_urn,_share_entity_urn,_fivetran_synced
0,/UMe5wPlgLwOeyU/KDNOwlG9G60=,0.060810810810810814,4,4,1,148,0,urn:li:organization:11841037,urn:li:share:6914168533450924032,2022-08-08 10:43:15.807000+00:00
1,7h82fbIp7Rd/B0bw4RdYQMUQCZI=,0.02734375,0,4,3,256,0,urn:li:organization:11841037,urn:li:share:6930083138308046848,2022-08-08 10:43:16.231000+00:00
2,j8ml91vNPnbRDVrmcNKb5WiiIqU=,0.04672897196261682,3,1,1,107,0,urn:li:organization:11841037,urn:li:share:6899666204143833088,2022-08-08 10:43:15.811000+00:00
3,C1p0auSYFmDdGHejlFrdPNcQWuY=,0.025,2,1,0,120,0,urn:li:organization:11841037,urn:li:ugcPost:6901807868253986816,2022-08-08 10:43:16.501000+00:00
4,OzKRBkyYCM7gpITjA8lQbawBs04=,0.05365853658536585,1,5,4,205,1,urn:li:organization:11841037,urn:li:share:6898909521188900864,2022-08-08 10:43:15.812000+00:00
5,/GiOTk7nS9+jrduV5pDhDytEz5M=,0.042328042328042326,0,8,0,189,0,urn:li:organization:11841037,urn:li:share:6928346523256643584,2022-08-08 10:43:16.232000+00:00
6,R97vewVOMc4ver59VM2jP9VPlVo=,0.03550295857988166,1,2,3,169,0,urn:li:organization:11841037,urn:li:share:6945425462688952320,2022-08-08 10:43:15.813000+00:00
7,RBmJPicFDLgdCNOBc5rkRefQlTw=,0.09523809523809523,1,14,3,189,0,urn:li:organization:11841037,urn:li:share:6929506701595275265,2022-08-08 10:43:15.809000+00:00
8,j1bNUvgzuEAJoJCvBUd6M916yaQ=,0.09615384615384616,4,7,4,156,0,urn:li:organization:11841037,urn:li:share:6924360649200283648,2022-08-08 10:43:15.807000+00:00
9,/VS8ANswC6U+grUjID/6d9ov4gs=,0.04790419161676647,0,4,4,167,0,urn:li:organization:11841037,urn:li:ugcPost:6926704938882338816,2022-08-08 10:43:15.801000+00:00
10,10Spx6HL80y4FPCW5RaIo6A2BHw=,0.07407407407407407,6,2,4,162,0,urn:li:organization:11841037,urn:li:share:6922135792467222528,2022-08-08 10:43:16.224000+00:00
11,9nsqZTQ0syYvu57PxOVFrGUQphE=,0.037914691943127965,3,3,2,211,0,urn:li:organization:11841037,urn:li:share:6944592419690582016,2022-08-08 10:43:15.810000+00:00
