,_fivetran_id,entity,comment_summary_count,comment_summary_top_level_count,reaction_like_count,reaction_like_reaction_type,reaction_praise_count,reaction_praise_reaction_type,reaction_maybe_count,reaction_maybe_reaction_type,reaction_empathy_count,reaction_empathy_reaction_type,reaction_interest_count,reaction_interest_reaction_type,reaction_appreciation_count,reaction_appreciation_reaction_type,reaction_celebration_count,reaction_celebration_reaction_type,comments_state,_fivetran_synced
0,vjt1vT9ZzRjym6Y/ro0oH+TPcNA=,urn:li:share:6906887619926704128,0.0,0.0,,,,,,,,,,,,,,,OPEN,2022-08-08 10:43:18.404000+00:00
1,p4lOHkZ67JkrAGzmUVgq1+iFBkw=,urn:li:share:6922135792467222528,0.0,0.0,5.0,LIKE,,,,,,,,,,,,,OPEN,2022-08-08 10:43:18.405000+00:00
2,nrWHoz13pvWl9BRT1yGenc1QndE=,urn:li:ugcPost:6929480659191091200,0.0,0.0,3.0,LIKE,,,,,,,,,,,,,OPEN,2022-08-08 10:43:17.468000+00:00
3,9MpNOQwv1RES5+nw7+hKxvbLz1o=,urn:li:ugcPost:6930435038316486656,0.0,0.0,,,,,,,,,,,,,,,OPEN,2022-08-08 10:43:17.464000+00:00
4,mc3CLFFrfRXmegnCUqpSo6M78/g=,urn:li:share:6919314921151180800,0.0,0.0,2.0,LIKE,,,,,,,,,,,,,OPEN,2022-08-08 10:43:17.458000+00:00
5,hyRuGpHFCEClJ5VaOy7pTp64Q/s=,urn:li:share:6902245434400854016,0.0,0.0,,,,,,,,,,,,,,,OPEN,2022-08-08 10:43:18.410000+00:00
6,jS15nkT+D0zMWJvKjVcrjIH5Tek=,"urn:li:comment:(urn:li:activity:6930090653338992641,6930090760918687745)",,,,,,,,,,,,,,,,,OPEN,2022-08-08 10:43:21.871000+00:00
7,aes8YPr2kUdyC27JXLHPWy0O8xE=,urn:li:ugcPost:6920770861385801728,0.0,0.0,,,,,,,,,,,,,,,OPEN,2022-08-08 10:43:18.413000+00:00
8,4hosjLNDwxK60s23mWCdAchVZ5o=,urn:li:share:6944584612681539585,0.0,0.0,4.0,LIKE,,,,,,,,,,,,,OPEN,2022-08-08 10:43:18.408000+00:00
9,AD0k6KpxN+XWcRaz6qDgKHVnb/E=,urn:li:ugcPost:6915258443758997504,0.0,0.0,1.0,LIKE,,,,,,,,,,,,,OPEN,2022-08-08 10:43:17.470000+00:00
