,_fivetran_id,day,follower_gains_organic_follower_gain,follower_gains_paid_follower_gain,organization_entity,_fivetran_synced
0,qHbBYX1krOWu4cGcqC37As7pKu4=,2022-04-06 00:00:00+00:00,1,0,urn:li:organization:69569872,2022-08-08 10:42:08.585000+00:00
1,LKyJYRUAOaZsYVhDJ8ZhHJatuRc=,2022-04-14 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:21.301000+00:00
2,EhXWuH0sAPDQbGOF/XwjhlOlbi4=,2021-10-12 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.243000+00:00
3,M57CLYx9qcHzF4DTgoOZkGJ/z/E=,2021-11-18 00:00:00+00:00,0,0,urn:li:organization:78306774,2022-08-08 10:42:27.264000+00:00
4,dSjm46UbWF1+35dMeAWeKSnGRIs=,2021-09-13 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.033000+00:00
5,cqsc4/d+dzyluUMQXZF6Nzjh2xI=,2022-04-01 00:00:00+00:00,1,0,urn:li:organization:78306774,2022-08-08 10:42:28.426000+00:00
6,ny8OkWeZLecR0f16NvQWqMO96C4=,2022-04-28 00:00:00+00:00,2,0,urn:li:organization:11841037,2022-08-08 10:42:21.310000+00:00
7,s/2ZchkcUQwtPOY1km07DT6agcI=,2021-12-10 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.623000+00:00
8,Ddq7eSjX94+4TfMCsUxUV4Nbq48=,2022-04-27 00:00:00+00:00,0,0,urn:li:organization:11841037,2022-08-08 10:42:21.309000+00:00
9,eNgFG/qJUV+9a0qi8QXheGNpN4I=,2021-09-20 00:00:00+00:00,0,0,urn:li:organizationBrand:69569872,2022-08-08 10:42:38.701000+00:00
10,LnBNe9uvBpGr/Nj/UHJCpFBHyrg=,2022-03-11 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:08.408000+00:00
11,sg1NFxADq0V1SkTWY6eTwSbU9z8=,2021-11-15 00:00:00+00:00,4,0,urn:li:organization:11841037,2022-08-08 10:42:20.222000+00:00
12,iz4p8YPZN19+AzMW5CaLg568NC0=,2022-01-26 00:00:00+00:00,1,0,urn:li:organization:11841037,2022-08-08 10:42:20.581000+00:00
13,Jo4qSfEMJlBVm2trNgTeJBQnSsw=,2021-08-19 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:06.850000+00:00
14,r0caVRpqY9Gfx4Bm3OX2Zn74k40=,2021-12-14 00:00:00+00:00,0,0,urn:li:organization:69569872,2022-08-08 10:42:07.628000+00:00
