,_fivetran_id,day,careers_page_promo_links_clicks,careers_page_banner_promo_clicks,careers_page_jobs_clicks,careers_page_employees_clicks,mobile_careers_page_promo_links_clicks,mobile_careers_page_jobs_clicks,mobile_careers_page_employees_clicks,all_desktop_page_views,all_desktop_unique_page_views,all_mobile_page_views,all_mobile_unique_page_views,all_page_views,all_unique_page_views,about_page_views,about_unique_page_views,careers_page_views,careers_unique_page_views,products_page_views,products_unique_page_views,jobs_page_views,jobs_unique_page_views,people_page_views,people_unique_page_views,overview_page_views,overview_unique_page_views,life_at_page_views,life_at_unique_page_views,insights_page_views,insights_unique_page_views,mobile_careers_page_views,mobile_careers_unique_page_views,mobile_overview_page_views,mobile_overview_unique_page_views,mobile_jobs_page_views,mobile_jobs_unique_page_views,mobile_life_at_page_views,mobile_life_at_unique_page_views,mobile_insights_page_views,mobile_insights_unique_page_views,mobile_products_page_views,mobile_products_unique_page_views,mobile_about_page_views,mobile_about_unique_page_views,mobile_people_page_views,mobile_people_unique_page_views,desktop_insights_page_views,desktop_insights_unique_page_views,desktop_careers_page_views,desktop_careers_unique_page_views,desktop_life_at_page_views,desktop_life_at_unique_page_views,desktop_jobs_page_views,desktop_jobs_unique_page_views,desktop_people_page_views,desktop_people_unique_page_views,desktop_about_page_views,desktop_about_unique_page_views,desktop_overview_page_views,desktop_overview_unique_page_views,desktop_products_page_views,desktop_products_unique_page_views,organization_entity,_fivetran_synced
0,qHbBYX1krOWu4cGcqC37As7pKu4=,2022-04-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,urn:li:organization:69569872,2022-08-08 10:42:46.853000+00:00
1,LKyJYRUAOaZsYVhDJ8ZhHJatuRc=,2022-04-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,urn:li:organization:11841037,2022-08-08 10:42:54.320000+00:00
2,EhXWuH0sAPDQbGOF/XwjhlOlbi4=,2021-10-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:69569872,2022-08-08 10:42:45.069000+00:00
3,1INJAQ7uxbTTr89MeNXsFiNhIZE=,2022-06-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:86734408,2022-08-08 10:42:50.979000+00:00
4,M57CLYx9qcHzF4DTgoOZkGJ/z/E=,2021-11-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:78306774,2022-08-08 10:42:56.762000+00:00
5,dSjm46UbWF1+35dMeAWeKSnGRIs=,2021-09-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:69569872,2022-08-08 10:42:44.852000+00:00
6,6wSt0GOdtVE/KRSTRlJdT4sBvpc=,2022-04-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:74996377,2022-08-08 10:43:01.520000+00:00
7,cqsc4/d+dzyluUMQXZF6Nzjh2xI=,2022-04-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:78306774,2022-08-08 10:42:57.702000+00:00
8,ny8OkWeZLecR0f16NvQWqMO96C4=,2022-04-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,urn:li:organization:11841037,2022-08-08 10:42:54.327000+00:00
9,NnMiyRGevT0DtLQ32mkf7/xMir0=,2021-08-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,urn:li:organization:86734408,2022-08-08 10:42:48.476000+00:00
