,_fivetran_id,day,engagement,unique_impressions_count,share_count,share_mentions_count,click_count,like_count,impression_count,comment_count,comment_mentions_count,organization_entity,_fivetran_synced
0,qHbBYX1krOWu4cGcqC37As7pKu4=,2022-04-06 00:00:00+00:00,0.125,4,0,,1,0,8,0,,urn:li:organization:69569872,2022-08-08 10:42:11.820000+00:00
1,LKyJYRUAOaZsYVhDJ8ZhHJatuRc=,2022-04-14 00:00:00+00:00,0.0,13,0,,0,0,19,0,,urn:li:organization:11841037,2022-08-08 10:42:25.042000+00:00
2,EhXWuH0sAPDQbGOF/XwjhlOlbi4=,2021-10-12 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:10.486000+00:00
3,1INJAQ7uxbTTr89MeNXsFiNhIZE=,2022-06-17 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:18.027000+00:00
4,M57CLYx9qcHzF4DTgoOZkGJ/z/E=,2021-11-18 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:78306774,2022-08-08 10:42:30.164000+00:00
5,dSjm46UbWF1+35dMeAWeKSnGRIs=,2021-09-13 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:10.262000+00:00
6,6wSt0GOdtVE/KRSTRlJdT4sBvpc=,2022-04-29 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:36.892000+00:00
7,cqsc4/d+dzyluUMQXZF6Nzjh2xI=,2022-04-01 00:00:00+00:00,0.13043478260869565,12,0,,1,2,23,0,,urn:li:organization:78306774,2022-08-08 10:42:31.211000+00:00
8,ny8OkWeZLecR0f16NvQWqMO96C4=,2022-04-28 00:00:00+00:00,0.04,17,0,,1,1,50,0,,urn:li:organization:11841037,2022-08-08 10:42:25.049000+00:00
9,NnMiyRGevT0DtLQ32mkf7/xMir0=,2021-08-09 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:15.897000+00:00
10,s/2ZchkcUQwtPOY1km07DT6agcI=,2021-12-10 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:10.936000+00:00
11,Ddq7eSjX94+4TfMCsUxUV4Nbq48=,2022-04-27 00:00:00+00:00,0.125,8,-1,,1,2,16,0,,urn:li:organization:11841037,2022-08-08 10:42:25.048000+00:00
12,eNgFG/qJUV+9a0qi8QXheGNpN4I=,2021-09-20 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:41.369000+00:00
